Sample in Buffer,Sample in Window,TRIGGER,system_i/pusu_pl_dsp_core_0_dbg_input_sample_count[31:0],system_i/pusu_pl_dsp_core_0_dbg_output_sample_count[31:0],system_i/pusu_pl_dsp_core_0_dbg_output_drop_count[31:0],system_i/pusu_pl_dsp_core_0_dbg_last_i[15:0],system_i/pusu_pl_dsp_core_0_dbg_last_q[15:0],system_i/pusu_pl_dsp_core_0_dbg_nco_phase[3:0],system_i/pusu_pl_dsp_core_0_dbg_decim_count[15:0],system_i/pusu_pl_dsp_core_0_m_axis_tdata[31:0],system_i/pusu_pl_dsp_core_0_m_axis_tlast,system_i/pusu_pl_dsp_core_0_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,HEX,HEX
0,0,0,e321a0d8,1f491ec6,00000000,ffdd,ffec,a,004b,-2228244,0,0
1,1,0,e321a0d9,1f491ec6,00000000,ffdd,ffec,b,004c,-2228244,0,0
2,2,0,e321a0da,1f491ec6,00000000,ffdd,ffec,c,004d,-2228244,0,0
3,3,0,e321a0db,1f491ec6,00000000,ffdd,ffec,0,004e,-2228244,0,0
4,4,0,e321a0dc,1f491ec6,00000000,ffdd,ffec,1,004f,-2228244,0,0
5,5,0,e321a0dc,1f491ec6,00000000,ffdd,ffec,1,004f,-2228244,0,0
6,6,0,e321a0dd,1f491ec6,00000000,ffdd,ffec,2,0050,-2228244,0,0
7,7,0,e321a0de,1f491ec6,00000000,ffdd,ffec,3,0051,-2228244,0,0
8,8,0,e321a0df,1f491ec6,00000000,ffdd,ffec,4,0052,-2228244,0,0
9,9,0,e321a0e0,1f491ec6,00000000,ffdd,ffec,5,0053,-2228244,0,0
10,10,0,e321a0e1,1f491ec6,00000000,ffdd,ffec,6,0054,-2228244,0,0
11,11,0,e321a0e2,1f491ec6,00000000,ffdd,ffec,7,0055,-2228244,0,0
12,12,0,e321a0e2,1f491ec6,00000000,ffdd,ffec,7,0055,-2228244,0,0
13,13,0,e321a0e3,1f491ec6,00000000,ffdd,ffec,8,0056,-2228244,0,0
14,14,0,e321a0e4,1f491ec6,00000000,ffdd,ffec,9,0057,-2228244,0,0
15,15,0,e321a0e5,1f491ec6,00000000,ffdd,ffec,a,0058,-2228244,0,0
16,16,0,e321a0e6,1f491ec6,00000000,ffdd,ffec,b,0059,-2228244,0,0
17,17,0,e321a0e7,1f491ec6,00000000,ffdd,ffec,c,005a,-2228244,0,0
18,18,0,e321a0e8,1f491ec6,00000000,ffdd,ffec,0,005b,-2228244,0,0
19,19,0,e321a0e9,1f491ec6,00000000,ffdd,ffec,1,005c,-2228244,0,0
20,20,0,e321a0e9,1f491ec6,00000000,ffdd,ffec,1,005c,-2228244,0,0
21,21,0,e321a0ea,1f491ec6,00000000,ffdd,ffec,2,005d,-2228244,0,0
22,22,0,e321a0eb,1f491ec6,00000000,ffdd,ffec,3,005e,-2228244,0,0
23,23,0,e321a0ec,1f491ec6,00000000,ffdd,ffec,4,005f,-2228244,0,0
24,24,0,e321a0ed,1f491ec6,00000000,ffdd,ffec,5,0060,-2228244,0,0
25,25,0,e321a0ee,1f491ec6,00000000,ffdd,ffec,6,0061,-2228244,0,0
26,26,0,e321a0ef,1f491ec6,00000000,ffdd,ffec,7,0062,-2228244,0,0
27,27,0,e321a0ef,1f491ec6,00000000,ffdd,ffec,7,0062,-2228244,0,0
28,28,0,e321a0f0,1f491ec6,00000000,ffdd,ffec,8,0063,-2228244,0,0
29,29,0,e321a0f1,1f491ec6,00000000,ffdd,ffec,9,0064,-2228244,0,0
30,30,0,e321a0f2,1f491ec6,00000000,ffdd,ffec,a,0065,-2228244,0,0
31,31,0,e321a0f3,1f491ec6,00000000,ffdd,ffec,b,0066,-2228244,0,0
32,32,0,e321a0f4,1f491ec6,00000000,ffdd,ffec,c,0067,-2228244,0,0
33,33,0,e321a0f5,1f491ec6,00000000,ffdd,ffec,0,0068,-2228244,0,0
34,34,0,e321a0f6,1f491ec6,00000000,ffdd,ffec,1,0069,-2228244,0,0
35,35,0,e321a0f6,1f491ec6,00000000,ffdd,ffec,1,0069,-2228244,0,0
36,36,0,e321a0f7,1f491ec6,00000000,ffdd,ffec,2,006a,-2228244,0,0
37,37,0,e321a0f8,1f491ec6,00000000,ffdd,ffec,3,006b,-2228244,0,0
38,38,0,e321a0f9,1f491ec6,00000000,ffdd,ffec,4,006c,-2228244,0,0
39,39,0,e321a0fa,1f491ec6,00000000,ffdd,ffec,5,006d,-2228244,0,0
40,40,0,e321a0fb,1f491ec6,00000000,ffdd,ffec,6,006e,-2228244,0,0
41,41,0,e321a0fc,1f491ec6,00000000,ffdd,ffec,7,006f,-2228244,0,0
42,42,0,e321a0fc,1f491ec6,00000000,ffdd,ffec,7,006f,-2228244,0,0
43,43,0,e321a0fd,1f491ec6,00000000,ffdd,ffec,8,0070,-2228244,0,0
44,44,0,e321a0fe,1f491ec6,00000000,ffdd,ffec,9,0071,-2228244,0,0
45,45,0,e321a0ff,1f491ec6,00000000,ffdd,ffec,a,0072,-2228244,0,0
46,46,0,e321a100,1f491ec6,00000000,ffdd,ffec,b,0073,-2228244,0,0
47,47,0,e321a101,1f491ec6,00000000,ffdd,ffec,c,0074,-2228244,0,0
48,48,0,e321a102,1f491ec6,00000000,ffdd,ffec,0,0075,-2228244,0,0
49,49,0,e321a103,1f491ec6,00000000,ffdd,ffec,1,0076,-2228244,0,0
50,50,0,e321a103,1f491ec6,00000000,ffdd,ffec,1,0076,-2228244,0,0
51,51,0,e321a104,1f491ec6,00000000,ffdd,ffec,2,0077,-2228244,0,0
52,52,0,e321a105,1f491ec6,00000000,ffdd,ffec,3,0078,-2228244,0,0
53,53,0,e321a106,1f491ec6,00000000,ffdd,ffec,4,0079,-2228244,0,0
54,54,0,e321a107,1f491ec6,00000000,ffdd,ffec,5,007a,-2228244,0,0
55,55,0,e321a108,1f491ec6,00000000,ffdd,ffec,6,007b,-2228244,0,0
56,56,0,e321a109,1f491ec6,00000000,ffdd,ffec,7,007c,-2228244,0,0
57,57,0,e321a109,1f491ec6,00000000,ffdd,ffec,7,007c,-2228244,0,0
