Sample in Buffer,Sample in Window,TRIGGER,system_i/pusu_pl_dsp_core_0_dbg_input_sample_count[31:0],system_i/pusu_pl_dsp_core_0_dbg_output_sample_count[31:0],system_i/pusu_pl_dsp_core_0_dbg_output_drop_count[31:0],system_i/pusu_pl_dsp_core_0_dbg_last_i[15:0],system_i/pusu_pl_dsp_core_0_dbg_last_q[15:0],system_i/pusu_pl_dsp_core_0_dbg_nco_phase[3:0],system_i/pusu_pl_dsp_core_0_dbg_decim_count[15:0],system_i/pusu_pl_dsp_core_0_m_axis_tdata[31:0],system_i/pusu_pl_dsp_core_0_m_axis_tlast,system_i/pusu_pl_dsp_core_0_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,SIGNED,HEX,HEX
0,0,0,5f042844,1c4cd4fc,00000000,ffda,000d,a,004b,-2490355,0,0
1,1,0,5f042845,1c4cd4fc,00000000,ffda,000d,b,004c,-2490355,0,0
2,2,0,5f042846,1c4cd4fc,00000000,ffda,000d,c,004d,-2490355,0,0
3,3,0,5f042847,1c4cd4fc,00000000,ffda,000d,0,004e,-2490355,0,0
4,4,0,5f042847,1c4cd4fc,00000000,ffda,000d,0,004e,-2490355,0,0
5,5,0,5f042848,1c4cd4fc,00000000,ffda,000d,1,004f,-2490355,0,0
6,6,0,5f042849,1c4cd4fc,00000000,ffda,000d,2,0050,-2490355,0,0
7,7,0,5f04284a,1c4cd4fc,00000000,ffda,000d,3,0051,-2490355,0,0
8,8,0,5f04284b,1c4cd4fc,00000000,ffda,000d,4,0052,-2490355,0,0
9,9,0,5f04284c,1c4cd4fc,00000000,ffda,000d,5,0053,-2490355,0,0
10,10,0,5f04284d,1c4cd4fc,00000000,ffda,000d,6,0054,-2490355,0,0
11,11,0,5f04284f,1c4cd4fc,00000000,ffda,000d,7,0054,-2490355,0,0
12,12,0,5f04284e,1c4cd4fc,00000000,ffda,000d,7,0055,-2490355,0,0
13,13,0,5f04284f,1c4cd4fc,00000000,ffda,000d,8,0056,-2490355,0,0
14,14,0,5f042850,1c4cd4fc,00000000,ffda,000d,9,0057,-2490355,0,0
15,15,0,5f042851,1c4cd4fc,00000000,ffda,000d,a,0058,-2490355,0,0
