profile,mode,status,design_method,design_options,tap_index,coefficient
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,0,-6.67819602678087e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,1,-4.78119122187722e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,2,-1.82279773922163e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,3,2.00263207330563e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,4,6.34341884274228e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,5,0.000107146368923737
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,6,0.000145443578005367
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,7,0.000172385531002432
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,8,0.000182581619967642
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,9,0.000171993918195981
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,10,0.000138668200986364
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,11,8.32860634929493e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,12,9.44261265442821e-06
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,13,-7.64204685840093e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,14,-0.0001654593674561
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,15,-0.000247237353882198
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,16,-0.000310837210622381
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,17,-0.000346169381005266
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,18,-0.000345331466323954
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,19,-0.000303852562964232
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,20,-0.000221652788654812
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,21,-0.000103566447634229
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,22,4.06836351675437e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,23,0.00019711596813475
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,24,0.000348710140889093
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,25,0.000477127547426924
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,26,0.000564773432131468
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,27,0.000596982924503435
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,28,0.000564077437418095
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,29,0.000463029313242915
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,30,0.000298495436888499
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,31,8.30346600780429e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,32,-0.000163594584796565
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,33,-0.00041605872416142
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,34,-0.000645887172859474
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,35,-0.000824508574339938
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,36,-0.000926578984779889
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,37,-0.000933234178474792
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,38,-0.000834875328085558
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,39,-0.000633119044080229
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,40,-0.000341610174338908
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,41,1.44954892915234e-05
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,42,0.000400431006179059
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,43,0.000774994998174062
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,44,0.00109474146362666
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,45,0.00131877907764595
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,46,0.00141367286646721
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,47,0.00135788888989413
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,48,0.00114523156171767
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,49,0.00078679703330271
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,50,0.000311100874696657
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,51,-0.000237777082856716
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,52,-0.000803971238439288
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,53,-0.00132524669416783
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,54,-0.00173955878371656
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,55,-0.00199209281625756
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,56,-0.00204201726434428
firmware_current,1K,NEEDS_DECIMATION_REWORK,kaiser,cutoff_hz=520;kaiser_beta=5,57,-0.00186816015575471
