freq_hz,freq_over_rbw,magnitude_db
0,0,-1.92865493310657e-15
6.25,0.000625,-4.84015766747375e-06
12.5,0.00125,-1.93494553601659e-05
18.75,0.001875,-4.34943939181739e-05
25,0.0025,-7.7219231516734e-05
31.25,0.003125,-0.000120446118589382
37.5,0.00375,-0.000173075286148066
43.75,0.004375,-0.000234985287835002
50,0.005,-0.000306033293097454
56.25,0.005625,-0.000386055433896392
62.5,0.00625,-0.000474867200848906
68.75,0.006875,-0.000572263890525995
75,0.0075,-0.000678021101385858
81.25,0.008125,-0.000791895277416333
87.5,0.00875,-0.000913624298356774
93.75,0.009375,-0.00104292811506861
100,0.01,-0.00117950942881038
106.25,0.010625,-0.00132305441208925
112.5,0.01125,-0.00147323347034221
118.75,0.011875,-0.00162970204133695
125,0.0125,-0.00179210143219128
131.25,0.013125,-0.00196005968998245
137.5,0.01375,-0.00213319250612885
143.75,0.014375,-0.0023111041493559
150,0.015,-0.00249338842854051
156.25,0.015625,-0.00267962968084738
162.5,0.01625,-0.00286940378252763
168.75,0.016875,-0.00306227918199821
175,0.0175,-0.00325781795066623
181.25,0.018125,-0.00345557685047946
187.5,0.01875,-0.00365510841391377
193.75,0.019375,-0.00385596203619058
200,0.02,-0.00405768507450498
206.25,0.020625,-0.00425982395375747
212.5,0.02125,-0.00446192527481301
218.75,0.021875,-0.0046635369228019
225,0.0225,-0.00486420917353757
231.25,0.023125,-0.00506349579396079
237.5,0.02375,-0.00526095513606528
243.75,0.024375,-0.00545615121868917
250,0.025,-0.00564865479771476
256.25,0.025625,-0.00583804441953148
262.5,0.02625,-0.0060239074568384
268.75,0.026875,-0.00620584112289532
275,0.0275,-0.00638345346320341
281.25,0.028125,-0.00655636432092498
287.5,0.02875,-0.00672420627444564
293.75,0.029375,-0.00688662554413232
300,0.03,-0.00704328286675194
306.25,0.030625,-0.00719385433456289
312.5,0.03125,-0.00733803219828156
318.75,0.031875,-0.00747552563012029
325,0.0325,-0.00760606144669591
331.25,0.033125,-0.00772938478909613
337.5,0.03375,-0.00784525975847076
343.75,0.034375,-0.00795347000579551
350,0.035,-0.00805381927412858
356.25,0.035625,-0.00814613189254174
362.5,0.03625,-0.00823025321915411
368.75,0.036875,-0.00830605003409156
375,0.0375,-0.0083734108791581
381.25,0.038125,-0.00843224634517888
387.5,0.03875,-0.00848248930580494
393.75,0.039375,-0.00852409509604782
400,0.04,-0.00855704163640423
406.25,0.040625,-0.00858132950224063
412.5,0.04125,-0.00859698193694106
418.75,0.041875,-0.00860404481018035
425,0.0425,-0.00860258652019834
431.25,0.043125,-0.00859269784129377
437.5,0.04375,-0.00857449171646298
443.75,0.044375,-0.00854810299500567
450,0.045,-0.00851368811723798
456.25,0.045625,-0.00847142474550551
462.5,0.04625,-0.0084215113429119
468.75,0.046875,-0.00836416670129521
475,0.0475,-0.00829962941870103
481.25,0.048125,-0.00822815732880623
487.5,0.04875,-0.00815002688146529
493.75,0.049375,-0.00806553247863369
500,0.05,-0.00797498576537316
506.25,0.050625,-0.00787871487859681
512.5,0.05125,-0.00777706365372467
518.75,0.051875,-0.00767039079419017
525,0.0525,-0.00755906900294571
531.25,0.053125,-0.00744348407899218
537.5,0.05375,-0.00732403398203646
543.75,0.054375,-0.00720112786649057
550,0.055,-0.00707518508687821
556.25,0.055625,-0.00694663417861703
562.5,0.05625,-0.00681591181488025
568.75,0.056875,-0.00668346174323109
575,0.0575,-0.00654973370397213
581.25,0.058125,-0.00641518233367739
587.5,0.05875,-0.00628026605499658
593.75,0.059375,-0.00614544595718283
600,0.06,-0.00601118466897078
606.25,0.060625,-0.00587794522701972
612.5,0.06125,-0.00574618994240602
618.75,0.061875,-0.00561637926795034
625,0.0625,-0.00548897066866267
631.25,0.063125,-0.00536441750002473
637.5,0.06375,-0.00524316789385913
643.75,0.064375,-0.00512566365668041
650,0.065,-0.00501233918235571
656.25,0.065625,-0.0049036203819672
662.5,0.06625,-0.00479992363369403
668.75,0.066875,-0.00470165475366168
675,0.0675,-0.00460920799386649
681.25,0.068125,-0.00452296506446506
687.5,0.06875,-0.00444329418828917
693.75,0.069375,-0.00437054918548655
700,0.07,-0.00430506859309276
706.25,0.070625,-0.00424717482036596
712.5,0.07125,-0.0041971733431094
718.75,0.071875,-0.00415535193779071
725,0.0725,-0.00412197995791754
731.25,0.073125,-0.00409730765500323
737.5,0.07375,-0.00408156554365669
743.75,0.074375,-0.00407496381624173
750,0.075,-0.0040776918039709
756.25,0.075625,-0.00408991748948378
762.5,0.07625,-0.00411178706985003
768.75,0.076875,-0.00414342457284605
775,0.0775,-0.00418493152575546
781.25,0.078125,-0.00423638667886174
787.5,0.07875,-0.00429784578381922
793.75,0.079375,-0.00436934142721685
800,0.08,-0.00445088292149403
806.25,0.080625,-0.00454245625007167
812.5,0.08125,-0.00464402407143414
818.75,0.081875,-0.00475552577797686
825,0.0825,-0.00487687761281376
831.25,0.083125,-0.00500797284234903
837.5,0.08375,-0.00514868198499889
843.75,0.084375,-0.00529885309555336
850,0.085,-0.00545831210487713
856.25,0.085625,-0.00562686321395844
862.5,0.08625,-0.00580428934065007
868.75,0.086875,-0.0059903526197768
875,0.0875,-0.00618479495438492
881.25,0.088125,-0.00638733861703651
887.5,0.08875,-0.00659768689970782
893.75,0.089375,-0.00681552481146325
900,0.09,-0.0070405198215126
906.25,0.090625,-0.00727232264614958
912.5,0.09125,-0.00751056807845974
918.75,0.091875,-0.00775487585800511
925,0.0925,-0.00800485157801702
931.25,0.093125,-0.0082600876303403
937.5,0.09375,-0.00852016418298969
943.75,0.094375,-0.00878465018984128
950,0.095,-0.00905310442950149
956.25,0.095625,-0.00932507657097805
962.5,0.09625,-0.00960010826352229
968.75,0.096875,-0.00987773424889388
975,0.0975,-0.0101574834914142
981.25,0.098125,-0.0104388803250404
987.5,0.09875,-0.0107214456144324
993.75,0.099375,-0.0110046979261243
1000,0.1,-0.0112881547075235
1006.25,0.100625,-0.0115713334719913
1012.5,0.10125,-0.01185375298502
1018.75,0.101875,-0.0121349344504944
1025,0.1025,-0.012414402693181
1031.25,0.103125,-0.012691687334532
1037.5,0.10375,-0.0129663239595969
1043.75,0.104375,-0.013237855270972
1050,0.105,-0.0135058322288304
1056.25,0.105625,-0.0137698151718308
1062.5,0.10625,-0.0140293749180258
1068.75,0.106875,-0.0142840938421753
1075,0.1075,-0.014533566926796
1081.25,0.108125,-0.014777402784996
1087.5,0.10875,-0.0150152246507981
1093.75,0.109375,-0.0152466713365374
1100,0.11,-0.0154713981541544
1106.25,0.110625,-0.015689077796652
1112.5,0.11125,-0.0158994011799554
1118.75,0.111875,-0.0161020782405474
1125,0.1125,-0.0162968386888883
1131.25,0.113125,-0.0164834327151651
1137.5,0.11375,-0.0166616316464847
1143.75,0.114375,-0.0168312285525915
1150,0.115,-0.0169920388004114
1156.25,0.115625,-0.0171439005539082
1162.5,0.11625,-0.0172866752189284
1168.75,0.116875,-0.0174202478324213
1175,0.1175,-0.0175445273928639
1181.25,0.118125,-0.0176594471337923
1187.5,0.11875,-0.0177649647366913
1193.75,0.119375,-0.0178610624854467
1200,0.12,-0.0179477473588956
1206.25,0.120625,-0.0180250510641273
1212.5,0.12125,-0.0180930300077005
1218.75,0.121875,-0.0181517652063483
1225,0.1225,-0.0182013621371935
1231.25,0.123125,-0.0182419505257357
1237.5,0.12375,-0.0182736840760698
1243.75,0.124375,-0.0182967401387097
1250,0.125,-0.0183113193212546
1256.25,0.125625,-0.018317645039847
1262.5,0.12625,-0.0183159630139598
1268.75,0.126875,-0.0183065407050594
1275,0.1275,-0.0182896666998003
1281.25,0.128125,-0.0182656500409349
1287.5,0.12875,-0.0182348195051598
1293.75,0.129375,-0.0181975228318801
1300,0.13,-0.0181541259028091
1306.25,0.130625,-0.0181050118756352
1312.5,0.13125,-0.018050580272846
1318.75,0.131875,-0.0179912460287066
1325,0.1325,-0.0179274384960564
1331.25,0.133125,-0.0178596004150046
1337.5,0.13375,-0.0177881868480499
1343.75,0.134375,-0.0177136640804683
1350,0.135,-0.0176365084922199
1356.25,0.135625,-0.0175572054021795
1362.5,0.13625,-0.0174762478878613
1368.75,0.136875,-0.0173941355833454
1375,0.1375,-0.0173113734591273
1381.25,0.138125,-0.0172284705851323
1387.5,0.13875,-0.0171459388823144
1393.75,0.139375,-0.0170642918632459
1400,0.14,-0.0169840433667202
1406.25,0.140625,-0.0169057062892821
1412.5,0.14125,-0.0168297913144926
1418.75,0.141875,-0.016756805647017
1425,0.1425,-0.0166872517511398
1431.25,0.143125,-0.0166216260980304
1437.5,0.14375,-0.0165604179253432
1443.75,0.144375,-0.0165041080117983
1450,0.145,-0.016453167469327
1456.25,0.145625,-0.0164080565563102
1462.5,0.14625,-0.0163692235153549
1468.75,0.146875,-0.0163371034359495
1475,0.1475,-0.0163121171495409
1481.25,0.148125,-0.0162946701540175
1487.5,0.14875,-0.0162851515752315
1493.75,0.149375,-0.0162839331657385
1500,0.15,-0.0162913683427903
1506.25,0.150625,-0.0163077912701617
1512.5,0.15125,-0.0163335159841752
1518.75,0.151875,-0.0163688355666197
1525,0.1525,-0.0164140213683065
1531.25,0.153125,-0.0164693222820291
1537.5,0.15375,-0.016534964069953
1543.75,0.154375,-0.0166111487462164
1550,0.155,-0.0166980540146757
1556.25,0.155625,-0.0167958327662343
1562.5,0.15625,-0.0169046126351805
1568.75,0.156875,-0.0170244956158442
1575,0.1575,-0.017155557741362
1581.25,0.158125,-0.0172978488259092
1587.5,0.15875,-0.0174513922690559
1593.75,0.159375,-0.0176161849259458
1600,0.16,-0.0177921970409497
1606.25,0.160625,-0.0179793722475943
1612.5,0.16125,-0.0181776276326667
1618.75,0.161875,-0.0183868538665676
1625,0.1625,-0.0186069153983986
1631.25,0.163125,-0.0188376507163783
1637.5,0.16375,-0.0190788726725744
1643.75,0.164375,-0.0193303688717998
1650,0.165,-0.0195919021235741
1656.25,0.165625,-0.019863210956567
1662.5,0.16625,-0.0201440101943992
1668.75,0.166875,-0.0204339915918854
1675,0.1675,-0.0207328245288619
1681.25,0.168125,-0.0210401567632228
1687.5,0.16875,-0.0213556152378359
1693.75,0.169375,-0.0216788069426924
1700,0.17,-0.0220093198279252
1706.25,0.170625,-0.0223467237683194
1712.5,0.17125,-0.0226905715734526
1718.75,0.171875,-0.0230404000457213
1725,0.1725,-0.0233957310795995
1731.25,0.173125,-0.0237560728025719
1737.5,0.17375,-0.0241209207529154
1743.75,0.174375,-0.024489759094356
1750,0.175,-0.024862061861033
1756.25,0.175625,-0.0252372942334036
1762.5,0.17625,-0.0256149138397279
1768.75,0.176875,-0.0259943720812321
1775,0.1775,-0.0263751154770885
1781.25,0.178125,-0.0267565870265745
1787.5,0.17875,-0.0271382275847003
1793.75,0.179375,-0.0275194772480323
1800,0.18,-0.027899776747301
1806.25,0.180625,-0.0282785688439199
1812.5,0.18125,-0.0286552997259155
1818.75,0.181875,-0.0290294204013185
1825,0.1825,-0.0294003880835049
1831.25,0.183125,-0.0297676675669607
1837.5,0.18375,-0.0301307325896073
1843.75,0.184375,-0.0304890671765205
1850,0.185,-0.0308421669648322
1856.25,0.185625,-0.0311895405025887
1862.5,0.18625,-0.031530710522618
1868.75,0.186875,-0.0318652151834896
1875,0.1875,-0.0321926092777639
1881.25,0.188125,-0.032512465403748
1887.5,0.18875,-0.0328243750961582
1893.75,0.189375,-0.0331279499139945
1900,0.19,-0.0334228224831128
1906.25,0.190625,-0.0337086474896156
1912.5,0.19125,-0.0339851026215486
1918.75,0.191875,-0.0342518894570555
1925,0.1925,-0.0345087342964694
1931.25,0.193125,-0.0347553889346013
1937.5,0.19375,-0.0349916313738488
1943.75,0.194375,-0.0352172664721415
1950,0.195,-0.0354321265287324
1956.25,0.195625,-0.0356360718012417
1962.5,0.19625,-0.0358289909558386
1968.75,0.196875,-0.0360108014480263
1975,0.1975,-0.0361814498321452
1981.25,0.198125,-0.0363409119995185
1987.5,0.19875,-0.036489193344034
1993.75,0.199375,-0.036626328854498
2000,0.2,-0.0367523831325942
2006.25,0.200625,-0.036867450337978
2012.5,0.20125,-0.0369716540574068
2018.75,0.201875,-0.0370651471011228
2025,0.2025,-0.0371481112244107
2031.25,0.203125,-0.0372207567761802
2037.5,0.20375,-0.0372833222735392
2043.75,0.204375,-0.0373360739053479
2050,0.205,-0.0373793049639598
2056.25,0.205625,-0.0374133352073641
2062.5,0.20625,-0.0374385101516293
2068.75,0.206875,-0.0374552002971982
2075,0.2075,-0.0374638002896026
2081.25,0.208125,-0.0374647280159049
2087.5,0.20875,-0.0374584236398817
2093.75,0.209375,-0.0374453485779657
2100,0.21,-0.037425984417969
2106.25,0.210625,-0.0374008317833053
2112.5,0.21125,-0.0373704091449618
2118.75,0.211875,-0.0373352515843246
2125,0.2125,-0.0372959095108109
2131.25,0.213125,-0.0372529473347468
2137.5,0.21375,-0.0372069421008265
2143.75,0.214375,-0.0371584820851968
2150,0.215,-0.0371081653588392
2156.25,0.215625,-0.0370565983200413
2162.5,0.21625,-0.0370043942021782
2168.75,0.216875,-0.0369521715569984
2175,0.2175,-0.0369005527199545
