freq_hz,freq_over_rbw,magnitude_db
0,0,-1.92865493310657e-15
0.625,0.000625,-4.84015782658787e-06
1.25,0.00125,-1.93494560110884e-05
1.875,0.001875,-4.34943953887806e-05
2.5,0.0025,-7.72192341300847e-05
3.125,0.003125,-0.000120446122678187
3.75,0.00375,-0.000173075292030581
4.375,0.004375,-0.000234985295842994
5,0.005,-0.000306033303550168
5.625,0.005625,-0.000386055447141054
6.25,0.00625,-0.000474867217185507
6.875,0.006875,-0.00057226391030469
7.5,0.0075,-0.000678021124925965
8.125,0.008125,-0.000791895305039119
8.75,0.00875,-0.000913624330391245
9.375,0.009375,-0.00104292815184283
10,0.01,-0.00117950947066305
10.625,0.010625,-0.0013230544593456
11.25,0.01125,-0.00147323352331399
11.875,0.011875,-0.0016297021003639
12.5,0.0125,-0.00179210149757267
13.125,0.013125,-0.00196005976208027
13.75,0.01375,-0.00213319258525206
14.375,0.014375,-0.00231110423583665
15,0.015,-0.00249338852268782
15.625,0.015625,-0.00267962978301853
16.25,0.01625,-0.00286940389303459
16.875,0.016875,-0.00306227930116069
17.5,0.0175,-0.00325781807882616
18.125,0.018125,-0.00345557698795949
18.75,0.01875,-0.00365510856103657
19.375,0.019375,-0.00385596219328271
20,0.02,-0.00405768524189493
20.625,0.020625,-0.00425982413177088
21.25,0.02125,-0.00446192546379192
21.875,0.021875,-0.00466353712305555
22.5,0.0225,-0.00486420938539838
23.125,0.023125,-0.00506349601774768
23.75,0.02375,-0.00526095537211549
24.375,0.024375,-0.00545615146732742
25,0.025,-0.00564865505925418
25.625,0.025625,-0.00583804469431993
26.25,0.02625,-0.00602390774520444
26.875,0.026875,-0.00620584142515206
27.5,0.0275,-0.00638345377968518
28.125,0.028125,-0.00655636465195355
28.75,0.02875,-0.00672420662035433
29.375,0.029375,-0.00688662590523513
30,0.03,-0.00704328324339084
30.625,0.030625,-0.00719385472705087
31.25,0.03125,-0.00733803260696054
31.875,0.031875,-0.00747552605531765
32.5,0.0325,-0.00760606188871682
33.125,0.033125,-0.00772938524829687
33.75,0.03375,-0.00784526023516607
34.375,0.034375,-0.00795347050029235
35,0.035,-0.00805381978678503
35.625,0.035625,-0.00814613242365019
36.25,0.03625,-0.00823025376908316
36.875,0.036875,-0.00830605060313736
37.5,0.0375,-0.0083734114676486
38.125,0.038125,-0.00843224695345066
38.75,0.03875,-0.00848248993418585
39.375,0.039375,-0.0085240957448637
40,0.04,-0.00855704230597315
40.625,0.040625,-0.00858133019290087
41.25,0.04125,-0.00859698264901637
41.875,0.041875,-0.00860404554399828
42.5,0.0425,-0.00860258727610182
43.125,0.043125,-0.00859269861957548
43.75,0.04375,-0.0085744925174783
44.375,0.044375,-0.00854810381905972
45,0.045,-0.00851368896467829
45.625,0.045625,-0.00847142561664387
46.25,0.04625,-0.00842151223808223
46.875,0.046875,-0.00836416762081884
47.5,0.0475,-0.00829963036292338
48.125,0.048125,-0.0082281582980196
48.75,0.04875,-0.00815002787603337
49.375,0.049375,-0.00806553349885932
50,0.05,-0.00797498681158231
50.625,0.050625,-0.00787871595113763
51.25,0.05125,-0.00777706475290284
51.875,0.051875,-0.00767039192034801
52.5,0.0525,-0.00755907015640142
53.125,0.053125,-0.00744348526007359
53.75,0.05375,-0.00732403519107141
54.375,0.054375,-0.00720112910379244
55,0.055,-0.00707518635279415
55.625,0.055625,-0.00694663547346624
56.25,0.05625,-0.0068159131389945
56.875,0.056875,-0.0066834630969277
57.5,0.0575,-0.00654973508758775
58.125,0.058125,-0.00641518374753717
58.75,0.05875,-0.00628026749943341
59.375,0.059375,-0.00614544743249396
60,0.06,-0.00601118617551722
60.625,0.060625,-0.00587794676512397
61.25,0.06125,-0.0057461915123887
61.875,0.061875,-0.00561638087012252
62.5,0.0625,-0.00548897230337509
63.125,0.063125,-0.00536441916758381
63.75,0.06375,-0.00524316959462739
64.375,0.064375,-0.00512566539095293
65,0.065,-0.0050123409504711
65.625,0.065625,-0.00490362218424298
66.25,0.06625,-0.00479992547045847
66.875,0.066875,-0.00470165662524412
67.5,0.0675,-0.00460920990061767
68.125,0.068125,-0.00452296700666734
68.75,0.06875,-0.00444329616628297
69.375,0.069375,-0.00437055119962496
70,0.07,-0.00430507064367888
70.625,0.070625,-0.00424717690772717
71.25,0.07125,-0.00419717546756745
71.875,0.071875,-0.00415535409970321
72.5,0.0725,-0.00412198215759308
73.125,0.073125,-0.00409730989275731
