profile,mode,design_method,candidate_label,rbw_hz,cic_r,cic_n,fs_out_hz,fir_taps,observe_points,skip_points,fir_cutoff_norm,design_opts_json,design_opts,bw_3db_hz,bw_6db_hz,enbw_main_hz,enbw_full_adc_hz,enbw_main_over_rbw,enbw_full_over_rbw,enbw_error_pct,noise_correction_db,passband_flatness_db,att_0p5_x_rbw_db,att_1_x_rbw_db,att_2_x_rbw_db,att_5_x_rbw_db,att_10_x_rbw_db,alias_1000hz_hz,alias_1000hz_db,alias_3000hz_hz,alias_3000hz_db,alias_10000hz_hz,alias_10000hz_db,alias_10200hz_hz,alias_10200hz_db,alias_14000hz_hz,alias_14000hz_db,alias_100000hz_hz,alias_100000hz_db,alias_geometry_risk,status,recommendation,accum_buffer_size,accum_target,first_valid,out_len,fits_accum_buffer,required_accum_buffer_size,fir_ops_per_window,fir_ops_relative,accum_count_relative,accum_time_ms,valid_window_ms,output_sample_period_us
alias_rework_1k,1K,kaiser,kaiser cutoff=0.64xRBW beta=8.0,1000,1300,5,100000,256,256,128,0.0064,cutoff_hz=640;kaiser_beta=8,,486.460605156675,665.004549825879,1005.82809833558,1108.93605063531,1.00582809833558,1.1089360506353,0.58280983355774,0.0252376369855158,1.98223480127094,-3.19438688477428,-15.7366770214367,-98.2374534582586,-90.5110600732919,-96.8647443407623,1000,-15.7366770214367,3000,-96.3303210201416,10000,-96.8647443407623,10200,-117.046735994727,14000,-102.950087114853,0,-1574.39082243701,0,NEEDS_TAPS,Increase FIR taps or broaden method sweep; current tap budget is close but misses rejection/flatness targets.,768,640,383,257,1,768,65792,1,1,6.4,2.57,10
alias_rework_1k,1K,kaiser,kaiser cutoff=0.6xRBW beta=5.0,1000,1300,5,100000,384,256,128,0.006,cutoff_hz=600;kaiser_beta=5,,496.570185750425,599.420803207698,1001.42327146545,1083.34659149437,1.00142327146545,1.08334659149437,0.142327146544852,0.00617679485097075,1.30328903090705,-3.08875867934885,-46.9931632761488,-60.5036085846419,-76.8581354559605,-77.4488141458446,1000,-46.9931632761488,3000,-65.2327403294303,10000,-77.4488141458446,10200,-84.0618509636818,14000,-83.1719469916746,0,-1574.39082243701,0,NEEDS_TAPS,Increase FIR taps or broaden method sweep; current tap budget is close but misses rejection/flatness targets.,768,768,511,257,1,768,98688,1.5,1.2,7.68,2.57,10
alias_rework_1k,1K,kaiser,kaiser cutoff=0.58xRBW beta=3.0,1000,1300,5,100000,512,256,128,0.0058,cutoff_hz=580;kaiser_beta=3,,516.137317886819,577.261269228888,1026.25651333658,1083.35557550645,1.02625651333658,1.08335557550645,2.62565133365764,0.112559264706469,0.333757940123025,-2.42963906199572,-44.2005758146495,-60.3746971894019,-74.9798945141608,-106.904280715097,1000,-44.2005758146495,3000,-79.1149145544331,10000,-106.904280715097,10200,-99.0657760469234,14000,-85.9686061116975,0,-1574.39082243701,0,NEEDS_TAPS,Increase FIR taps or broaden method sweep; current tap budget is close but misses rejection/flatness targets.,768,896,639,257,0,896,131584,2,1.4,8.96,2.57,10
alias_rework_1k,1K,kaiser,kaiser cutoff=0.56xRBW beta=4.0,1000,1300,5,100000,640,256,128,0.0056,cutoff_hz=560;kaiser_beta=4,,503.800960664081,559.638509182988,1008.44637973962,1083.35409036348,1.00844637973962,1.08335409036348,0.844637973962126,0.0365281122276774,0.418340246311005,-2.85490982791382,-64.2326623948432,-58.6534962889185,-83.8240377073453,-96.6935736098519,1000,-64.2326623948432,3000,-68.6961108099844,10000,-96.6935736098519,10200,-74.9395932624714,14000,-75.8594393578263,0,-1574.39082243701,0,NEEDS_TAPS,Increase FIR taps or broaden method sweep; current tap budget is close but misses rejection/flatness targets.,768,1024,767,257,0,1024,164480,2.5,1.6,10.24,2.57,10
alias_rework_1k,1K,kaiser,kaiser cutoff=0.52xRBW beta=3.0,1000,1300,5,100000,768,256,128,0.0052,cutoff_hz=520;kaiser_beta=3,,480.254899799716,520.154160250969,983.294044681055,1083.35019851997,0.983294044681055,1.08335019851996,-1.67059553189446,-0.0731659113380186,0.205972716233752,-4.32747602512896,-80.9682500245168,-67.3318693923461,-92.4700807253183,-91.6392769378242,1000,-80.9682500245168,3000,-69.9231283309186,10000,-91.6392769378242,10200,-107.052748918926,14000,-102.873447839095,0,-1574.39082243701,0,NEEDS_TAPS,Increase FIR taps or broaden method sweep; current tap budget is close but misses rejection/flatness targets.,768,1152,895,257,0,1152,197376,3,1.8,11.52,2.57,10
alias_rework_1k,1K,kaiser,kaiser cutoff=0.54xRBW beta=5.0,1000,1300,5,100000,1024,256,128,0.0054,cutoff_hz=540;kaiser_beta=5,,501.14277874499,539.746625655299,1002.96992805092,1083.33380547163,1.00296992805092,1.08333380547163,0.296992805091678,0.0128791180672467,0.1052472549504,-2.94189951498877,-81.1506832954726,-68.8672648269596,-82.8450540339599,-84.0537611191417,1000,-81.1506832954726,3000,-73.5122687897647,10000,-84.0537611191417,10200,-83.8639370289911,14000,-87.9694820191191,0,-1574.39082243701,0,PASS,Use this candidate for Step 2 freeze after coefficient quantization check.,768,1408,1151,257,0,1408,263168,4,2.2,14.08,2.57,10
firmware_current,1M,kaiser,kaiser cutoff=0.56xRBW beta=4.0,1000000,13,4,10000000,64,384,32,0.056,cutoff_hz=560000;kaiser_beta=4,,499613.482687889,556939.527114769,995263.80671442,995263.763611493,0.99526380671442,0.995263763611493,-0.473619328557973,-0.0206178898797899,0.533246073113507,-3.0258676506053,-69.9404241974054,-61.6426457414096,-321.813781566368,-1278.84522511169,1000,-4.43391242028316e-06,3000,-3.9900218544498e-05,10000,-0.000442704290284533,10200,-0.000460560359215073,14000,-0.000866393205580682,100000,-0.0370929053988826,0,NEEDS_TAPS,Increase FIR taps or broaden method sweep; current tap budget is close but misses rejection/flatness targets.,768,480,95,385,1,768,24640,1,1,0.048,0.0385,0.1
firmware_current,1M,kaiser,kaiser cutoff=0.54xRBW beta=4.0,1000000,13,4,10000000,96,384,32,0.054,cutoff_hz=540000;kaiser_beta=4,,499582.318560329,537745.061505764,990877.501729242,990877.425612762,0.990877501729242,0.990877425612762,-0.912249827075817,-0.0398003230722753,0.139991329222971,-3.03564839969114,-55.0497493404847,-69.6162247522319,-320.650545395595,-1278.84522511169,1000,-1.39470987215829e-05,3000,-0.000125449239255627,10000,-0.00138447226058049,10200,-0.00143997156416233,14000,-0.00269421625769821,100000,-0.061842749602771,0,PASS,Use this candidate for Step 2 freeze after coefficient quantization check.,768,512,127,385,1,768,36960,1.5,1.06666666666667,0.0512,0.0385,0.1
firmware_current,1M,kaiser,kaiser cutoff=0.54xRBW beta=6.5,1000000,13,4,10000000,128,384,32,0.054,cutoff_hz=540000;kaiser_beta=6.5,,502435.557935473,538229.114170775,998638.447540756,998638.366745285,0.998638447540755,0.998638366745285,-0.136155245924452,-0.00591717638648773,0.152740344053341,-2.85641369956536,-91.1268256088873,-100.103293602012,-327.505280831266,-1278.84522511169,1000,-1.04153512312453e-06,3000,-9.36657208146055e-06,10000,-0.000103164490237811,10200,-0.00010729068152352,14000,-0.000200351067281428,100000,-0.00574926729045947,0,PASS,Use this candidate for Step 2 freeze after coefficient quantization check.,768,544,159,385,1,768,49280,2,1.13333333333333,0.0544,0.0385,0.1
firmware_current,1M,hamming_sinc,hamming_sinc cutoff=0.53xRBW,1000000,13,4,10000000,160,384,32,0.053,cutoff_hz=530000,,503309.009734667,528847.444966529,1000032.0431299,1000031.93073389,1.0000320431299,1.00003193073389,0.00320431299016821,0.000139159315453992,0.0707739185833854,-2.72209075528434,-93.3167656179951,-107.975606064045,-133.076063221264,-1278.84522511169,1000,-2.49083738021985e-07,3000,-2.22847806430509e-06,10000,-2.3115573488375e-05,10200,-2.39748822227542e-05,14000,-4.20300909519473e-05,100000,-0.00256153961100434,0,PASS,Use this candidate for Step 2 freeze after coefficient quantization check.,768,576,191,385,1,768,61600,2.5,1.2,0.0576,0.0385,0.1
