mode,scheme_status,design_method,design_options,tap_index,coefficient
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,0,-6.25332326511099e-06
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,1,-1.20235956165793e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,2,-1.79440827645496e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,3,-2.40099300482846e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,4,-3.02159575321897e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,5,-3.65566614494518e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,6,-4.30262161454855e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,7,-4.96184765258394e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,8,-5.63269810125701e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,9,-6.31449550123891e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,10,-7.00653148992385e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,11,-7.70806725132255e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,12,-8.4183340177157e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,13,-9.13653362311865e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,14,-9.86183910853648e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,15,-0.000105933953789149
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,16,-0.000113303199116177
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,17,-0.000120717035161878
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,18,-0.000128166111450711
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,19,-0.000135640827549099
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,20,-0.000143131342179325
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,21,-0.000150627582828925
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,22,-0.000158119255849321
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,23,-0.000165595857036685
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,24,-0.000173046682687253
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,25,-0.000180460841118556
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,26,-0.000187827264647233
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,27,-0.000195134722013402
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,28,-0.000202371831240738
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,29,-0.000209527072920719
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,30,-0.000216588803908721
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,31,-0.000223545271418947
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,32,-0.000230384627504409
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,33,-0.000237094943907524
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,34,-0.000243664227266137
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,35,-0.000250080434659127
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,36,-0.000256331489475064
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,37,-0.000262405297586732
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,38,-0.000268289763813694
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,39,-0.000273972808654428
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,40,-0.000279442385268988
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,41,-0.00028468649669252
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,42,-0.000289693213259426
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,43,-0.000294450690217384
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,44,-0.000298947185509944
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,45,-0.000303171077705875
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,46,-0.000307110884053006
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,47,-0.000310755278633789
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,48,-0.000314093110599436
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,49,-0.000317113422459042
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,50,-0.000319805468399745
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,51,-0.000322158732613618
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,52,-0.00032416294760667
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,53,-0.000325808112465037
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,54,-0.00032708451105319
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,55,-0.000327982730118748
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,56,-0.000328493677278286
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,57,-0.00032860859885837
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,58,-0.000328319097565893
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,59,-0.000327617149961719
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,60,-0.00032649512371152
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,61,-0.000324945794587727
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,62,-0.000322962363196438
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,63,-0.000320538471403218
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,64,-0.000317668218431776
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,65,-0.00031434617660958
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,66,-0.000310567406734664
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,67,-0.00030632747303801
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,68,-0.000301622457716102
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,69,-0.000296448975008538
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,70,-0.0002908041847958
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,71,-0.00028468580569266
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,72,-0.000278092127613006
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,73,-0.000271022023782305
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,74,-0.000263474962174291
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,75,-0.00025545101634898
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,76,-0.000246950875669563
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,77,-0.000237975854876274
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,78,-0.000228527902995916
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,79,-0.000218609611566258
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,80,-0.00020822422215524
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,81,-0.000197375633155484
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,82,-0.000186068405835395
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,83,-0.000174307769628796
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,84,-0.000162099626645842
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,85,-0.000149450555388712
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,86,-0.000136367813656429
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,87,-0.000122859340623985
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,88,-0.000108933758081826
