freq_hz,freq_over_rbw,magnitude_db
0,0,-6.75029226587301e-15
6.25,0.00625,0.00104399022209654
12.5,0.0125,0.00414941001559071
18.75,0.01875,0.00923729426773635
25,0.025,0.0161783037841624
31.25,0.03125,0.0247960522969419
37.5,0.0375,0.0348716147126243
43.75,0.04375,0.046149076901044
50,0.05,0.0583419604993604
56.25,0.05625,0.071140337540816
62.5,0.0625,0.084218439519464
68.75,0.06875,0.0972425633231797
75,0.075,0.109879081449398
81.25,0.08125,0.121802374681462
87.5,0.0875,0.132702520405275
93.75,0.09375,0.142292587326816
100,0.1,0.150315405932407
106.25,0.10625,0.156549702250315
112.5,0.1125,0.160815499211692
118.75,0.11875,0.162978704464983
125,0.125,0.162954815458269
131.25,0.13125,0.160711682017204
137.5,0.1375,0.156271273799684
143.75,0.14375,0.149710405608311
150,0.15,0.141160378419144
156.25,0.15625,0.130805499285068
162.5,0.1625,0.118880450128175
168.75,0.16875,0.105666485069733
175,0.175,0.0914864495004322
181.25,0.18125,0.0766986324521393
187.5,0.1875,0.0616894876389338
193.75,0.19375,0.0468652879088684
200,0.2,0.0326428124284822
206.25,0.20625,0.0194392045995408
212.5,0.2125,0.0076611797802931
218.75,0.21875,-0.00230619711812958
225,0.225,-0.0101109061315316
231.25,0.23125,-0.0154452492575216
237.5,0.2375,-0.0180566986968953
243.75,0.24375,-0.0177579962766533
250,0.25,-0.0144361907178623
256.25,0.25625,-0.00806032290815991
262.5,0.2625,0.00131249024828732
268.75,0.26875,0.0135327670168773
275,0.275,0.0283562923356978
281.25,0.28125,0.0454437183016047
287.5,0.2875,0.0643621024379139
293.75,0.29375,0.0845882748760459
300,0.3,0.105513855300073
306.25,0.30625,0.126451682087129
312.5,0.3125,0.14664337277247
318.75,0.31875,0.165267708652126
325,0.325,0.181449527270737
331.25,0.33125,0.194268813689321
337.5,0.3375,0.202769702513898
343.75,0.34375,0.205969134675689
350,0.35,0.20286495246009
356.25,0.35625,0.19244325980617
362.5,0.3625,0.173684919267202
368.75,0.36875,0.145571099508684
375,0.375,0.107087825766237
381.25,0.38125,0.0572295188268125
387.5,0.3875,-0.00499846496147952
393.75,0.39375,-0.0805782596966011
400,0.4,-0.170478834910501
406.25,0.40625,-0.275656204333269
412.5,0.4125,-0.39705444036303
418.75,0.41875,-0.535607437930277
425,0.425,-0.692241377109186
431.25,0.43125,-0.867877842814089
437.5,0.4375,-1.0634375717077
443.75,0.44375,-1.27984481071146
450,0.45,-1.51803228810443
456.25,0.45625,-1.77894681714679
462.5,0.4625,-2.06355557378733
468.75,0.46875,-2.37285311483566
475,0.475,-2.70786923187029
481.25,0.48125,-3.06967777037663
487.5,0.4875,-3.45940658490341
493.75,0.49375,-3.87824885184837
500,0.5,-4.32747602512885
506.25,0.50625,-4.80845280111891
512.5,0.5125,-5.32265456424502
518.75,0.51875,-5.87168792263538
525,0.525,-6.45731512711647
531.25,0.53125,-7.08148341545689
537.5,0.5375,-7.7463606645892
543.75,0.54375,-8.45437920777682
550,0.55,-9.20829034392941
556.25,0.55625,-10.0112330294862
562.5,0.5625,-10.8668216529085
568.75,0.56875,-11.7792598962498
575,0.575,-12.7534908997977
581.25,0.58125,-13.7953989682965
587.5,0.5875,-14.9120861306813
593.75,0.59375,-16.1122602521895
600,0.6,-17.4067943961056
606.25,0.60625,-18.8095582915194
612.5,0.6125,-20.3387000245491
618.75,0.61875,-22.0187095363775
625,0.625,-23.8839218653726
631.25,0.63125,-25.984873045453
637.5,0.6375,-28.4008655097939
643.75,0.64375,-31.2678685868525
650,0.65,-34.851793676748
656.25,0.65625,-39.8009951262989
662.5,0.6625,-48.6799342647983
668.75,0.66875,-55.6720329550081
675,0.675,-44.672011126805
681.25,0.68125,-40.9193363010285
687.5,0.6875,-39.0060880427875
693.75,0.69375,-37.9987721347079
700,0.7,-37.5662065052128
706.25,0.70625,-37.5603888374161
712.5,0.7125,-37.9118558018713
718.75,0.71875,-38.5951152025034
725,0.725,-39.6179204808553
731.25,0.73125,-41.0237981264902
737.5,0.7375,-42.9101309719463
743.75,0.74375,-45.481391892402
750,0.75,-49.2235128986127
756.25,0.75625,-55.7713761117632
762.5,0.7625,-78.4559862923572
768.75,0.76875,-55.2030368121641
775,0.775,-49.9253484631565
781.25,0.78125,-47.0363139572229
787.5,0.7875,-45.2045221912632
793.75,0.79375,-43.9999251987432
800,0.8,-43.2311483087441
806.25,0.80625,-42.7992643883286
812.5,0.8125,-42.650002079817
818.75,0.81875,-42.7547443771255
825,0.825,-43.1024663222488
831.25,0.83125,-43.6970003296007
837.5,0.8375,-44.5580291288069
843.75,0.84375,-45.7263774410107
850,0.85,-47.2769724431537
856.25,0.85625,-49.3499843763372
862.5,0.8625,-52.2367679600131
868.75,0.86875,-56.6949917245597
875,0.875,-66.1919462550253
881.25,0.88125,-66.9438959322719
887.5,0.8875,-57.495755017619
893.75,0.89375,-53.3758899229416
