freq_hz,freq_over_rbw,magnitude_db
0,0,-1.92865493310657e-15
6.25,0.00625,-0.000455288790107912
12.5,0.0125,-0.00182124297209813
18.75,0.01875,-0.00409812594874357
25,0.025,-0.00728637661846323
31.25,0.03125,-0.0113866092158664
37.5,0.0375,-0.0163996130891927
43.75,0.04375,-0.0223263524153275
50,0.05,-0.0291679658509257
56.25,0.05625,-0.0369257661236869
62.5,0.0625,-0.0456012395607494
68.75,0.06875,-0.0551960455581957
75,0.075,-0.0657120159905712
81.25,0.08125,-0.0771511545623599
87.5,0.0875,-0.0895156361020731
93.75,0.09375,-0.102807805800651
100,0.1,-0.117030178395532
106.25,0.10625,-0.132185437301028
112.5,0.1125,-0.148276433687885
118.75,0.11875,-0.165306185511681
125,0.125,-0.183277876494297
131.25,0.13125,-0.202194855057616
137.5,0.1375,-0.222060633213712
143.75,0.14375,-0.242878885410708
150,0.15,-0.264653447339347
156.25,0.15625,-0.287388314700251
162.5,0.1625,-0.311087641933993
168.75,0.16875,-0.335755740917652
175,0.175,-0.361397079628393
181.25,0.18125,-0.3880162807778
187.5,0.1875,-0.415618120417502
193.75,0.19375,-0.444207526520664
200,0.2,-0.473789577539689
206.25,0.20625,-0.504369500944096
212.5,0.2125,-0.535952671739924
218.75,0.21875,-0.568544610973697
225,0.225,-0.602150984223572
231.25,0.23125,-0.636777600079346
237.5,0.2375,-0.672430408615685
243.75,0.24375,-0.709115499858149
250,0.25,-0.746839102247904
256.25,0.25625,-0.785607581104988
262.5,0.2625,-0.825427437094354
268.75,0.26875,-0.866305304695913
275,0.275,-0.908247950682472
281.25,0.28125,-0.951262272606957
287.5,0.2875,-0.995355297302076
293.75,0.29375,-1.04053417939432
300,0.3,-1.08680619983559
306.25,0.30625,-1.13417876445356
312.5,0.3125,-1.18265940252533
318.75,0.31875,-1.23225576537401
325,0.325,-1.28297562499302
331.25,0.33125,-1.334826872699
337.5,0.3375,-1.38781751781613
343.75,0.34375,-1.44195568639386
350,0.35,-1.49724961996048
356.25,0.35625,-1.55370767431523
362.5,0.3625,-1.61133831835947
368.75,0.36875,-1.67015013297111
375,0.375,-1.73015180992256
381.25,0.38125,-1.79135215084528
387.5,0.3875,-1.85376006624317
393.75,0.39375,-1.91738457455524
400,0.4,-1.98223480127094
406.25,0.40625,-2.04831997810008
412.5,0.4125,-2.11564944219778
418.75,0.41875,-2.18423263544772
425,0.425,-2.25407910380453
431.25,0.43125,-2.32519849669736
437.5,0.4375,-2.39760056649703
443.75,0.44375,-2.47129516804656
450,0.45,-2.54629225825926
456.25,0.45625,-2.62260189578373
462.5,0.4625,-2.70023424073837
468.75,0.46875,-2.77919955451723
475,0.475,-2.85950819966793
481.25,0.48125,-2.94117063984444
487.5,0.4875,-3.02419743983382
493.75,0.49375,-3.10859926566148
500,0.5,-3.19438688477423
506.25,0.50625,-3.28157116630363
512.5,0.5125,-3.37016308140961
518.75,0.51875,-3.46017370370867
525,0.525,-3.551614209785
531.25,0.53125,-3.64449587978769
537.5,0.5375,-3.73883009811541
543.75,0.54375,-3.8346283541897
550,0.55,-3.9319022433177
556.25,0.55625,-4.03066346764762
562.5,0.5625,-4.13092383721654
568.75,0.56875,-4.23269527109318
575,0.575,-4.33598979861695
581.25,0.58125,-4.44081956073518
587.5,0.5875,-4.54719681143909
593.75,0.59375,-4.65513391930176
600,0.6,-4.76464336911864
606.25,0.60625,-4.87573776365309
612.5,0.6125,-4.9884298254883
618.75,0.61875,-5.10273239898783
625,0.625,-5.21865845236604
631.25,0.63125,-5.33622107987242
637.5,0.6375,-5.45543350408915
643.75,0.64375,-5.57630907834644
650,0.65,-5.69886128925642
656.25,0.65625,-5.82310375936919
662.5,0.6625,-5.94905024995298
668.75,0.66875,-6.07671466389985
675,0.675,-6.2061110487632
681.25,0.68125,-6.33725359992465
687.5,0.6875,-6.47015666389909
693.75,0.69375,-6.6048347417762
700,0.7,-6.74130249280479
706.25,0.70625,-6.87957473812158
712.5,0.7125,-7.01966646462979
718.75,0.71875,-7.16159282902947
725,0.725,-7.30536916200489
731.25,0.73125,-7.45101097257298
737.5,0.7375,-7.59853395259572
743.75,0.74375,-7.74795398146454
750,0.75,-7.89928713095702
756.25,0.75625,-8.05254967027508
762.5,0.7625,-8.20775807126703
768.75,0.76875,-8.3649290138417
775,0.775,-8.52407939157792
781.25,0.78125,-8.68522631753761
787.5,0.7875,-8.84838713028823
793.75,0.79375,-9.0135794001409
800,0.8,-9.18082093561363
806.25,0.80625,-9.35012979012344
812.5,0.8125,-9.52152426891992
818.75,0.81875,-9.69502293626469
825,0.825,-9.87064462286859
831.25,0.83125,-10.0484084335941
837.5,0.8375,-10.2283337554337
843.75,0.84375,-10.4104402657739
850,0.85,-10.5947479409572
856.25,0.85625,-10.7812770651522
862.5,0.8625,-10.970048239544
868.75,0.86875,-11.1610823918586
875,0.875,-11.3544007862346
881.25,0.88125,-11.5500250334558
887.5,0.8875,-11.7479771015598
893.75,0.89375,-11.94827932684
900,0.9,-12.1509544252554
906.25,0.90625,-12.3560255042672
912.5,0.9125,-12.5635160751217
918.75,0.91875,-12.7734500655976
925,0.925,-12.9858518332388
931.25,0.93125,-13.2007461790964
937.5,0.9375,-13.4181583620016
943.75,0.94375,-13.6381141133948
950,0.95,-13.8606396527371
956.25,0.95625,-14.0857617035318
962.5,0.9625,-14.3135075099854
968.75,0.96875,-14.5439048543402
975,0.975,-14.7769820749087
981.25,0.98125,-15.0127680848477
987.5,0.9875,-15.2512923917098
993.75,0.99375,-15.4925851178074
1000,1,-15.7366770214367
1006.25,1.00625,-15.9835995190026
1012.5,1.0125,-16.2333847080934
1018.75,1.01875,-16.4860653915562
1025,1.025,-16.7416751026258
1031.25,1.03125,-17.0002481311649
1037.5,1.0375,-17.2618195510776
1043.75,1.04375,-17.5264252489597
1050,1.05,-17.7941019540576
1056.25,1.05625,-18.0648872696083
1062.5,1.0625,-18.3388197056409
1068.75,1.06875,-18.615938713325
1075,1.075,-18.8962847209561
1081.25,1.08125,-19.1798991716772
1087.5,1.0875,-19.4668245630381
1093.75,1.09375,-19.7571044885079
1100,1.1,-20.0507836810598
1106.25,1.10625,-20.3479080589558
1112.5,1.1125,-20.6485247738735
1118.75,1.11875,-20.9526822615213
1125,1.125,-21.2604302949061
1131.25,1.13125,-21.571820040425
1137.5,1.1375,-21.8869041169693
1143.75,1.14375,-22.205736658242
1150,1.15,-22.5283733785095
1156.25,1.15625,-22.8548716420218
1162.5,1.1625,-23.1852905363574
1168.75,1.16875,-23.5196909499729
1175,1.175,-23.8581356542543
1181.25,1.18125,-24.2006893904006
1187.5,1.1875,-24.5474189614938
1193.75,1.19375,-24.8983933301418
1200,1.2,-25.2536837221164
1206.25,1.20625,-25.6133637364472
1212.5,1.2125,-25.9775094624728
1218.75,1.21875,-26.3461996043989
1225,1.225,-26.7195156139664
1231.25,1.23125,-27.0975418318865
1237.5,1.2375,-27.4803656387713
1243.75,1.24375,-27.8680776163505
1250,1.25,-28.2607717198566
1256.25,1.25625,-28.6585454625397
1262.5,1.2625,-29.0615001133836
1268.75,1.26875,-29.4697409091991
1275,1.275,-29.8833772824036
1281.25,1.28125,-30.3025231059366
1287.5,1.2875,-30.7272969569211
1293.75,1.29375,-31.1578224008658
1300,1.3,-31.5942282984069
1306.25,1.30625,-32.0366491368246
1312.5,1.3125,-32.4852253888367
1318.75,1.31875,-32.9401039014731
1325,1.325,-33.4014383181867
1331.25,1.33125,-33.8693895377518
1337.5,1.3375,-34.3441262139604
1343.75,1.34375,-34.8258253006512
1350,1.35,-35.3146726472189
1356.25,1.35625,-35.8108636504514
1362.5,1.3625,-36.3146039693628
1368.75,1.36875,-36.8261103106403
1375,1.375,-37.3456112934399
1381.25,1.38125,-37.8733484035621
1387.5,1.3875,-38.4095770485815
1393.75,1.39375,-38.9545677273027
1400,1.4,-39.5086073290653
1406.25,1.40625,-40.0720005809636
1412.5,1.4125,-40.6450716640849
1418.75,1.41875,-41.2281660235193
1425,1.425,-41.8216524012697
1431.25,1.43125,-42.4259251265013
1437.5,1.4375,-43.0414067040109
1443.75,1.44375,-43.66855074966
1450,1.45,-44.3078453311824
1456.25,1.45625,-44.9598167846957
1462.5,1.4625,-45.6250340920555
1468.75,1.46875,-46.3041139226924
1475,1.475,-46.9977264668504
1481.25,1.48125,-47.7066022165988
1487.5,1.4875,-48.4315398886222
1493.75,1.49375,-49.1734157311202
1500,1.5,-49.9331945198737
1506.25,1.50625,-50.7119426305653
1512.5,1.5125,-51.5108436828099
1518.75,1.51875,-52.3312173959685
1525,1.525,-53.1745424919554
1531.25,1.53125,-54.042484746681
1537.5,1.5375,-54.9369316603085
1543.75,1.54375,-55.8600357334003
1550,1.55,-56.814269072124
1556.25,1.55625,-57.8024931116706
1562.5,1.5625,-58.8280488191029
1568.75,1.56875,-59.8948751029312
1575,1.575,-61.0076667985459
1581.25,1.58125,-62.1720893472543
1587.5,1.5875,-63.395076620969
1593.75,1.59375,-64.6852539964758
1600,1.6,-66.0535560126248
1606.25,1.60625,-67.5141573777601
1612.5,1.6125,-69.0859304435481
1618.75,1.61875,-70.7948333920657
1625,1.625,-72.6780496440072
1631.25,1.63125,-74.7916910702814
1637.5,1.6375,-77.2265326664136
1643.75,1.64375,-80.1445535175727
1650,1.65,-83.8816447267322
1656.25,1.65625,-89.347479829804
1662.5,1.6625,-101.526584470991
1668.75,1.66875,-97.4095075105393
1675,1.675,-89.9473288765674
1681.25,1.68125,-86.5704281816927
1687.5,1.6875,-84.5661573951745
1693.75,1.69375,-83.2697418434822
1700,1.7,-82.4138832067092
1706.25,1.70625,-81.8649531271911
1712.5,1.7125,-81.5473809411724
1718.75,1.71875,-81.4151355643765
1725,1.725,-81.4390310398239
1731.25,1.73125,-81.600434723197
1737.5,1.7375,-81.8879431812845
1743.75,1.74375,-82.295604957331
1750,1.75,-82.8220605250575
1756.25,1.75625,-83.4703311283528
1762.5,1.7625,-84.2481943008665
1768.75,1.76875,-85.1692568014969
1775,1.775,-86.2550684231447
1781.25,1.78125,-87.5390591363761
1787.5,1.7875,-89.0740861140513
1793.75,1.79375,-90.9480357363012
1800,1.8,-93.3202207698642
1806.25,1.80625,-96.523819761601
1812.5,1.8125,-101.464618474803
1818.75,1.81875,-113.103340360674
1825,1.825,-108.544677036934
1831.25,1.83125,-100.570220083354
1837.5,1.8375,-96.6954951718883
1843.75,1.84375,-94.197379132254
1850,1.85,-92.408095411413
1856.25,1.85625,-91.0580934593313
1862.5,1.8625,-90.0115515591621
1868.75,1.86875,-89.1905651915501
1875,1.875,-88.5465086977427
1881.25,1.88125,-88.0472235226993
1887.5,1.8875,-87.6705844436517
1893.75,1.89375,-87.400987719172
1900,1.9,-87.2273137705774
1906.25,1.90625,-87.1416944370634
1912.5,1.9125,-87.1387505291917
1918.75,1.91875,-87.2151238668984
1925,1.925,-87.3692091111635
1931.25,1.93125,-87.6010361459136
1937.5,1.9375,-87.912282738265
1943.75,1.94375,-88.3064198768122
1950,1.95,-88.7890156003374
1956.25,1.95625,-89.3682546743506
1962.5,1.9625,-90.0557826761331
1968.75,1.96875,-90.868076478943
1975,1.975,-91.8287289570788
1981.25,1.98125,-92.9724368005141
1987.5,1.9875,-94.352429956022
1993.75,1.99375,-96.0556052484087
2000,2,-98.2374534582589
2006.25,2.00625,-101.219162511433
2012.5,2.0125,-105.857753814026
2018.75,2.01875,-116.557249565543
2025,2.025,-113.510743898267
2031.25,2.03125,-104.92109157536
2037.5,2.0375,-100.739733668495
2043.75,2.04375,-97.98091107087
2050,2.05,-95.9419063906147
2056.25,2.05625,-94.3429047801087
2062.5,2.0625,-93.0437507102684
2068.75,2.06875,-91.9641629560716
2075,2.075,-91.0538829024094
2081.25,2.08125,-90.2793959010309
2087.5,2.0875,-89.6172809558686
2093.75,2.09375,-89.0505774132321
2100,2.1,-88.5666632080306
2106.25,2.10625,-88.1559490310465
2112.5,2.1125,-87.811040149799
2118.75,2.11875,-87.5261799520371
2125,2.125,-87.2968705995038
2131.25,2.13125,-87.1196093360241
2137.5,2.1375,-86.9917030590126
2143.75,2.14375,-86.9111377863839
2150,2.15,-86.8764881657458
2156.25,2.15625,-86.8868575745142
2162.5,2.1625,-86.9418429665302
2168.75,2.16875,-87.0415212041652
2175,2.175,-87.1864556607989
2181.25,2.18125,-87.3777237293241
2187.5,2.1875,-87.6169678268781
2193.75,2.19375,-87.9064748617073
