mode,source,design_method,window,cutoff_hz,beta,tap_index,coefficient
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,0,-0.000234735566862752
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,1,-4.89394303252482e-05
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,2,0.000223637627725763
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,3,0.000560687729964407
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,4,0.000921678952186025
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,5,0.00125078505188868
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,6,0.00148308778813843
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,7,0.00155360156724836
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,8,0.00140812721719851
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,9,0.00101447981775893
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,10,0.000372339755759606
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,11,-0.000480084333020492
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,12,-0.00146417676107845
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,13,-0.00246492245433739
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,14,-0.00334117129340646
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,15,-0.00394163971645583
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,16,-0.00412519697884564
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,17,-0.003783139967006
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,18,-0.00286054137752697
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,19,-0.00137347785341855
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,20,0.000580913301545385
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,21,0.00282401066588701
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,22,0.0051063769047446
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,23,0.00712965498103246
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,24,0.00857833691815092
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,25,0.00915857437244031
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,26,0.00863994234783086
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,27,0.0068952157344127
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,28,0.00393292316419584
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,29,-8.2207917185513e-05
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,30,-0.0048247973858149
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,31,-0.00982264981542961
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,32,-0.0144891784997847
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,33,-0.0181725065841808
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,34,-0.0202171927817786
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,35,-0.0200327189204788
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,36,-0.0171616438116818
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,37,-0.011339858445088
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,38,-0.00254177145948731
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,39,0.00899549092149048
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,40,0.0227727783286759
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,41,0.0380558557673597
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,42,0.0539271199487429
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,43,0.0693578569755266
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,44,0.0832944216233119
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,45,0.0947500053601997
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,46,0.102892834314891
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,47,0.107121814214887
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,48,0.107121814214887
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,49,0.102892834314891
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,50,0.0947500053601997
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,51,0.0832944216233119
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,52,0.0693578569755266
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,53,0.0539271199487429
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,54,0.0380558557673597
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,55,0.0227727783286759
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,56,0.00899549092149048
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,57,-0.00254177145948731
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,58,-0.011339858445088
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,59,-0.0171616438116818
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,60,-0.0200327189204788
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,61,-0.0202171927817786
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,62,-0.0181725065841808
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,63,-0.0144891784997847
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,64,-0.00982264981542961
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,65,-0.0048247973858149
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,66,-8.2207917185513e-05
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,67,0.00393292316419584
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,68,0.0068952157344127
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,69,0.00863994234783086
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,70,0.00915857437244031
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,71,0.00857833691815092
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,72,0.00712965498103246
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,73,0.0051063769047446
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,74,0.00282401066588701
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,75,0.000580913301545385
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,76,-0.00137347785341855
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,77,-0.00286054137752697
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,78,-0.003783139967006
1M,firmware_current_coeffs,kaiser,kaiser,540000,4,79,-0.00412519697884564
