candidate_key,selected,mode,mode_order,source,role,fs_hz,target_rbw_hz,total_decimation,fir_taps,design_method,window,beta,cutoff_hz,actual_enbw_hz,enbw_over_rbw,correction_db,passband_flatness_db,passband_flatness_0p45_db,att_2x_db,att_5x_db,observe_points,skip_points,accum_target,nyquist_hz,freq_2x_hz,freq_5x_hz,status,strict_pass,acceptable_pass,note
1M__firmware_current_coeffs__kaiser__96t__540000__4,1,1M,1,firmware_current_coeffs,recheck_old_candidate,10000000,1000000,13,96,kaiser,kaiser,4,540000,1002220.34525446,1.00222034525446,0.00963214752555996,0.0657994277377423,0.783428353754823,-67.3128579827164,-305.448568623082,384,32,512,5000000,2000000,5000000,PASS_ACCEPTABLE,0,1,"Current C table, Scheme B 1M candidate."
300K__recalc_scan__kaiser__128t__165000__4,1,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,128,windowed_sinc,kaiser,4,165000,313367.843156145,1.04455947718715,0.189331737359227,0.0521450415680408,0.157307893594229,-62.1646130702315,-80.2668701879017,384,64,576,1625000,600000,1500000,PASS_ACCEPTABLE,0,1,"300K@3.25MSPS recalc scan"
300K__legacy_scheme_b_coeffs_at_final_fs__legacy_hamming_sinc__128t__162000__NaN,0,300K,2,legacy_scheme_b_coeffs_at_final_fs,invalid_old_fs_reference,3250000,300000,40,128,c_table,legacy_hamming_sinc,NaN,162000,327186.472797099,1.09062157599033,0.376740851726012,0.0323808625768122,0.0882738425139577,-68.5093582634484,-83.1420590868135,384,64,576,1625000,600000,1500000,FAIL,0,0,"Old 300K coefficients evaluated at final 3.25 MSPS; reference only."
300K__recalc_scan__hamming__96t__150000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,150000,273612.682682628,0.912042275608758,-0.399850304894817,1.01113701370968,2.78702037278357,-62.7743504945518,-67.2248759660793,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__hamming__96t__153000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,153000,279225.603276911,0.930752010923035,-0.31166016799783,0.794370610490768,2.33248927322109,-62.130412391878,-67.0674082482923,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__hamming__96t__156000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,156000,284836.753208185,0.949455844027283,-0.225252280214434,0.613136848998386,1.93227706103583,-62.1603547247013,-67.5968712090205,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__hamming__96t__159000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,159000,290476.793323257,0.96825597774419,-0.140098131197756,0.463521537040769,1.58246054586566,-62.8718368518209,-68.9056626326451,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__hamming__96t__162000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,162000,296175.030150513,0.987250100501711,-0.0557281338039146,0.341708040962362,1.27916337711723,-64.3959769509354,-71.2849573858267,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__hamming__96t__165000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,165000,301957.020693873,1.00652340231291,0.0282387696655741,0.244025005816977,1.01856881145236,-67.1056110017206,-75.6090655506138,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__hamming__96t__168000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,168000,307842.433907646,1.02614144635882,0.112072293324485,0.166992990299687,0.796933083978128,-72.1946538308374,-86.7423009386656,384,64,544,1625000,600000,1500000,PASS_ACCEPTABLE,0,1,"300K@3.25MSPS recalc scan"
300K__recalc_scan__hamming__96t__171000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,171000,313843.325545927,1.04614441848642,0.195916422963924,0.107367477063321,0.61059840434517,-90.3864293892718,-82.2243930985586,384,64,544,1625000,600000,1500000,PASS_ACCEPTABLE,0,1,"300K@3.25MSPS recalc scan"
300K__recalc_scan__hamming__96t__174000__NaN,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,hamming,NaN,174000,319962.95940296,1.06654319800986,0.27978450294007,0.0621759942161727,0.45600531353581,-74.4757388582724,-74.1982525302759,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__kaiser__96t__150000__3,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,kaiser,3,150000,283377.797606589,0.94459265868863,-0.247554340540546,0.344520470197803,2.12055504766055,-54.0602061591483,-59.4657232712998,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__kaiser__96t__153000__3,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,kaiser,3,153000,288106.369137032,0.960354563790105,-0.175683954309456,0.187779592678363,1.63651115981905,-53.5599104706985,-59.3433413613127,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__kaiser__96t__156000__3,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,kaiser,3,156000,292705.391045965,0.975684636819882,-0.106905333793008,0.108137411188067,1.23007726574199,-53.7338917886939,-59.9111577015458,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
300K__recalc_scan__kaiser__96t__159000__3,0,300K,2,recalc_scan,tap_cutoff_scan,3250000,300000,40,96,windowed_sinc,kaiser,3,159000,297288.958582842,0.990963195276141,-0.0394247506598964,0.0814286437659803,0.893718402157155,-54.6104081348042,-61.26487626516,384,64,544,1625000,600000,1500000,FAIL,0,0,"300K@3.25MSPS recalc scan"
