configuration,mode_name,rbw_hz,cic_r,cic_n,fs_out_hz,fir_taps,observe_points,skip_points,accum_count,offset_hz,alias_hz,abs_alias_hz,alias_inside_nominal_rbw,cic_response_db,fir_response_at_alias_db,steady_state_response_db,current_window_response_db,fixed_window_response_db,current_window_density_dbc_hz,fixed_window_density_dbc_hz
"old 1K, R=13000",old_1K_R13000,1000.0,13000,5,10000.0,256,256,128,640,1000.0,1000.0,1000.0,True,-0.7167508565822491,-6.016876526572153,-6.733627383154401,-6.476951896595011,-6.733627383154372,-36.47695189659501,-36.73362738315437
"old 1K, R=13000",old_1K_R13000,1000.0,13000,5,10000.0,256,256,128,640,3000.0,3000.0,3000.0,False,-6.631348244735652,-75.67108309123468,-82.30243133597034,-37.1929627760271,-82.30243133614997,-67.1929627760271,-112.30243133614997
"old 1K, R=13000",old_1K_R13000,1000.0,13000,5,10000.0,256,256,128,640,10000.0,0.0,0.0,True,-1598.980070398359,-1.9286549331065743e-15,-1598.980070398359,-48.034006583552355,-304.29152589387115,-78.03400658355235,-334.29152589387115
"old 1K, R=13000",old_1K_R13000,1000.0,13000,5,10000.0,256,256,128,640,10200.0,200.0,200.0,True,-170.78559636285422,0.002696367990416431,-170.78289999486378,-48.207408344623836,-170.78290021017796,-78.20740834462384,-200.78290021017796
"old 1K, R=13000",old_1K_R13000,1000.0,13000,5,10000.0,256,256,128,640,14000.0,4000.0,4000.0,False,-66.50715745421746,-74.46429754501031,-140.97145499922777,-50.97399231273848,-140.97145499911963,-80.97399231273849,-170.97145499911963
"old 1K, R=13000",old_1K_R13000,1000.0,13000,5,10000.0,256,256,128,640,100000.0,0.0,0.0,True,-1640.9138598259017,-1.9286549331065743e-15,-1640.9138598259017,-68.06929643795351,-322.5590031481644,-98.06929643795351,-352.5590031481644
"new 1K, R=1300",new_1K_R1300,1000.0,1300,5,100000.0,256,256,128,640,1000.0,1000.0,1000.0,True,-0.0071440886943817394,-6.014797408868794,-6.0219414975631755,-5.907086330639352,-6.021941497563123,-35.90708633063935,-36.02194149756312
"new 1K, R=1300",new_1K_R1300,1000.0,1300,5,100000.0,256,256,128,640,3000.0,3000.0,3000.0,False,-0.0643137305525649,-55.400599569107186,-55.464913299659756,-29.530983974702313,-55.46491329965994,-59.53098397470231,-85.46491329965994
"new 1K, R=1300",new_1K_R1300,1000.0,1300,5,100000.0,256,256,128,640,10000.0,10000.0,10000.0,False,-0.7167504380958927,-64.35223352017739,-65.06898395827328,-40.38039371595823,-65.06898395827422,-70.38039371595823,-95.06898395827422
"new 1K, R=1300",new_1K_R1300,1000.0,1300,5,100000.0,256,256,128,640,10200.0,10200.0,10200.0,False,-0.7458072187868202,-74.06717145417446,-74.81297867296128,-40.5592233605491,-74.81297867294532,-70.5592233605491,-104.81297867294532
"new 1K, R=1300",new_1K_R1300,1000.0,1300,5,100000.0,256,256,128,640,14000.0,14000.0,14000.0,False,-1.409336505562615,-72.8232911633767,-74.2326276689393,-43.3263546374829,-74.23262766895947,-73.3263546374829,-104.23262766895947
"new 1K, R=1300",new_1K_R1300,1000.0,1300,5,100000.0,256,256,128,640,100000.0,0.0,0.0,True,-1574.3908224370084,-1.9286549331065743e-15,-1574.3908224370084,-60.4223606710681,-316.718479610358,-90.4223606710681,-346.718479610358
