mode,offset_hz,current_window_response_db,fixed_window_response_db
1K,100.0,-0.04954557230669576,-0.004742499681294349
1K,103.45848160817529,-0.04965962954534168,-0.004857648083025975
1K,107.03657416669135,-0.04988738616120748,-0.00509741733244844
1K,110.73841439826728,-0.0502698299722394,-0.005503077124776837
1K,114.5682820934163,-0.05084276200888722,-0.006109437642119743
1K,118.53060505841937,-0.051631229684911226,-0.006938993593606226
1K,122.62996423442371,-0.05264370319505465,-0.007995946471453672
1K,126.87109899358319,-0.053866897390686674,-0.009261100222952401
1K,131.258912618366,-0.0552624491928875,-0.010688934593781868
1K,135.79847797036308,-0.05676686120653213,-0.01220833953179045
1K,140.49504335515007,-0.058296093123145966,-0.013728411163532135
1K,145.35403858998583,-0.05975578271753704,-0.015150217399140188
1K,150.38108128136037,-0.06105718330689195,-0.016384416212139374
1K,155.58198331965136,-0.06213746705972763,-0.017373020352290932
1K,160.96275759839585,-0.0629811747656479,-0.01811159561376325
1K,166.529624965948,-0.06363764537165842,-0.0186661667556549
1K,172.2890214175586,-0.06422787114372724,-0.01917779964334125
1K,178.24760553619006,-0.06493426978160405,-0.019848178178959418
1K,184.41226619067186,-0.065969250295048,-0.020902447557926272
1K,190.7901305000955,-0.06752374126335402,-0.022531673996905997
1K,197.38857207365496,-0.06970476033088017,-0.02482600572133877
1K,204.21521953546196,-0.07247996054050335,-0.027718986544373984
1K,211.2779653441907,-0.07565352656595337,-0.030969617532867772
1K,218.5849749177465,-0.0788970531137183,-0.03420645758692297
1K,226.14469607351114,-0.08184641046994284,-0.037042458031494724
1K,233.96586879507743,-0.08424942361121514,-0.03923928378776466
1K,242.05753533676273,-0.08611490614682618,-0.04086266807873762
1K,250.42905067758684,-0.08778655123747565,-0.042343695613820995
1K,259.09009333679916,-0.08986804559745253,-0.04436971982229715
1K,268.0506765634566,-0.09297725618899219,-0.04759179618140281
1K,277.32115991299287,-0.0974044844112722,-0.05224621952085401
1K,286.91226122416214,-0.10285326250274676,-0.057898008771127406
1K,296.8350690101997,-0.1084782123610373,-0.06353945375088971
1K,307.10105527853153,-0.11332626606442614,-0.06813518986214125
1K,317.7220887938518,-0.11702182893820234,-0.07139514035734427
1K,328.71044879989756,-0.12024116325354253,-0.07423936372381093
1K,340.07883921579213,-0.12446630013066866,-0.07840367892500055
1K,351.84040332336633,-0.1309248538986418,-0.08515899125083973
1K,364.00873896243473,-0.1393894986546655,-0.09399723511637607
1K,376.59791425160137,-0.14801538407653703,-0.10263550321049811
1K,389.6224838527644,-0.1548627855491646,-0.10894642943049081
1K,403.097505798128,-0.16009367865085622,-0.11344941533560417
1K,417.03855889916963,-0.16642420300348904,-0.11952167865537612
1K,431.4617607576967,-0.1764577989153351,-0.1299994471373565
1K,446.3837863998105,-0.1892034810449068,-0.1432371584413084
1K,461.8218875543244,-0.20050745881678594,-0.15416242398498622
1K,477.79391259791873,-0.2084891990625426,-0.16100050006663297
1K,494.3183271900984,-0.2172998833738305,-0.16920367547130274
1K,511.41423562180773,-0.23191946054365228,-0.18445154260706642
1K,529.1014029023783,-0.24956912972296363,-0.2026077542996996
1K,547.4002776103539,-0.2628333574392047,-0.21469957860521538
1K,566.3320155346086,-0.2733121795418084,-0.22359236127658225
1K,585.9185041330813,-0.2910253675578323,-0.24164893051569913
1K,606.1823878374192,-0.31469932572562,-0.26615550901442503
1K,627.1470942327742,-0.3316649065371793,-0.2812984510001448
1K,648.8368611430205,-0.3461293137492424,-0.29356843569732954
1K,671.276764652713,-0.3734533628366598,-0.32182988351897757
1K,694.4927480981813,-0.4018019486135721,-0.3497481315249302
1K,718.5116520612681,-0.41855239835227714,-0.3622947863653276
1K,743.3612454004027,-0.4484459865223812,-0.3915225720031885
1K,769.0702573548785,-0.48753136954091286,-0.43038308368402994
1K,795.6684107594434,-0.5091310528588812,-0.44503520282098186
1K,823.1864564076186,-0.5490436766674243,-0.4818949298593805
1K,851.656208603466,-0.599060356219814,-0.5266739981821377
1K,881.1105819428999,-0.6350241096387609,-0.547590444605512
1K,911.5836293670806,-0.6938989317554358,-0.580417690935716
1K,943.1105815318779,-0.9441588039086926,-0.747406327823807
1K,975.7278875389129,-2.759954123680533,-2.5867755721850023
1K,1000.0,-6.476951896595011,-6.733627383154372
1K,1009.4732570752825,-8.652132915080955,-9.329472026819083
1K,1044.3857040106793,-18.34205268258591,-26.611270720687962
1K,1080.5055915023008,-21.958829083438687,-55.54778093569658
1K,1117.8746786597123,-23.425197670780577,-60.56380586138839
1K,1156.536168823607,-24.515716409269178,-58.12715275955189
1K,1196.5347595142669,-25.43891723815568,-58.56020799032961
1K,1237.9166941074911,-26.21179114812703,-59.8182915873311
1K,1280.7298152977316,-26.921101710649914,-62.19899968031196
1K,1325.0236204102198,-27.54659599941764,-67.52253005593863
1K,1370.8493186260841,-28.13879271203884,-85.34372321076182
1K,1418.2598901865651,-28.68180463397676,-66.7333123773956
1K,1467.3101476447932,-29.195239659959597,-64.04053190753442
1K,1518.0567992359765,-29.689125297514636,-69.09871137422232
1K,1570.558514439209,-30.152620327480054,-73.15420148367038
1K,1624.8759918067185,-30.601534040226056,-66.46205806536331
1K,1681.072029139008,-31.038289434016942,-85.8571534828537
1K,1739.2115960869617,-31.455835570040346,-67.93966753306803
