mode,rbw_hz,cic_r,fir_taps,skip_points,accum_count,output_points,offset_hz,current_window_response_db,fixed_window_response_db,current_window_density_dbc_hz,fixed_window_density_dbc_hz,fixed_improvement_db
1K,1000.0,1300,256,128,640,257,1000.0,-5.907086330639352,-6.021941497563123,-35.90708633063935,-36.02194149756312,-0.11485516692377118
1K,1000.0,1300,256,128,640,257,3000.0,-29.530983974702313,-55.46491329965994,-59.53098397470231,-85.46491329965994,-25.933929324957628
1K,1000.0,1300,256,128,640,257,10000.0,-40.38039371595823,-65.06898395827422,-70.38039371595823,-95.06898395827422,-24.68859024231599
1K,1000.0,1300,256,128,640,257,10200.0,-40.5592233605491,-74.81297867294532,-70.5592233605491,-104.81297867294532,-34.25375531239622
1K,1000.0,1300,256,128,640,257,14000.0,-43.3263546374829,-74.23262766895947,-73.3263546374829,-104.23262766895947,-30.906273031476566
1K,1000.0,1300,256,128,640,257,100000.0,-60.4223606710681,-316.718479610358,-90.4223606710681,-346.718479610358,-256.2961189392899
1K,1000.0,1300,256,128,640,257,1000000.0,-80.42189235046959,-332.1616779945805,-110.42189235046959,-362.1616779945805,-251.7397856441109
1K,1000.0,1300,256,128,640,257,10000000.0,-100.33803359391166,-328.8879497812513,-130.33803359391166,-358.8879497812513,-228.54991618733962
1K,1000.0,1300,256,128,640,257,14000000.0,-103.1789616543132,-312.8153797817388,-133.17896165431318,-342.8153797817388,-209.6364181274256
10K,10000.0,1300,256,128,640,257,1000.0,-0.04952236116235585,-0.004742495496402606,-40.04952236116235,-40.0047424954964,0.044779865665953246
10K,10000.0,1300,256,128,640,257,3000.0,-0.11008606665427341,-0.06512036219127693,-40.110086066654276,-40.06512036219128,0.044965704462996484
10K,10000.0,1300,256,128,640,257,10000.0,-6.476961486178471,-6.733626964668008,-46.47696148617847,-46.733626964668005,-0.2566654784895368
10K,10000.0,1300,256,128,640,257,10200.0,-11.524112211762887,-13.053000193264365,-51.52411221176288,-53.05300019326437,-1.5288879815014784
10K,10000.0,1300,256,128,640,257,14000.0,-28.475262324536846,-66.1514686546158,-68.47526232453684,-106.1514686546158,-37.676206330078955
10K,10000.0,1300,256,128,640,257,100000.0,-48.034834389814655,-316.718479610358,-88.03483438981465,-356.718479610358,-268.6836452205433
10K,10000.0,1300,256,128,640,257,1000000.0,-68.06929650166066,-332.1616779945805,-108.06929650166066,-372.1616779945805,-264.0923814929198
10K,10000.0,1300,256,128,640,257,10000000.0,-87.98578685034238,-328.8879497812513,-127.98578685034238,-368.8879497812513,-240.9021629309089
10K,10000.0,1300,256,128,640,257,14000000.0,-90.82671663718054,-312.8153797817388,-130.82671663718054,-352.8153797817388,-221.98866314455825
100K,100000.0,130,128,64,576,385,1000.0,-0.030838147235362462,-0.0007509433999408569,-50.030838147235364,-50.00075094339994,0.030087203835421607
100K,100000.0,130,128,64,576,385,3000.0,-0.035892391189991296,-0.0061081351376779435,-50.03589239118999,-50.00610813513768,0.029784256052313354
100K,100000.0,130,128,64,576,385,10000.0,-0.04954545415753747,-0.020188837846120196,-50.04954545415754,-50.02018883784612,0.029356616311417276
100K,100000.0,130,128,64,576,385,10200.0,-0.04930304995091228,-0.01990726813151428,-50.049303049950915,-50.01990726813151,0.029395781819398
100K,100000.0,130,128,64,576,385,14000.0,-0.04523651596921435,-0.015057839932043243,-50.045236515969215,-50.01505783993204,0.030178676037171108
100K,100000.0,130,128,64,576,385,100000.0,-6.656626200198435,-6.74613262514781,-56.65662620019843,-56.74613262514781,-0.08950642494937533
100K,100000.0,130,128,64,576,385,1000000.0,-49.8496527543439,-325.2846730865702,-99.84965275434391,-375.2846730865702,-275.4350203322263
100K,100000.0,130,128,64,576,385,10000000.0,-69.800466628724,-322.4905632327539,-119.800466628724,-372.4905632327539,-252.69009660402992
100K,100000.0,130,128,64,576,385,14000000.0,-72.64156606096974,-308.7103537693081,-122.64156606096974,-358.7103537693081,-236.06878770833833
1M,1000000.0,13,64,32,480,385,1000.0,-0.022590318676337463,2.6126370523197717e-07,-60.022590318676336,-59.99999973873629,0.022590579940042696
1M,1000000.0,13,64,32,480,385,3000.0,-0.022588891613607994,2.349979212135587e-06,-60.02258889161361,-59.99999765002079,0.02259124159282013
1M,1000000.0,13,64,32,480,385,10000.0,-0.022572813185968706,2.5934809310114374e-05,-60.02257281318597,-59.99997406519069,0.02259874799527882
1M,1000000.0,13,64,32,480,385,10200.0,-0.02257210595061872,2.6974448916140402e-05,-60.022572105950616,-59.999973025551085,0.02259908039953486
1M,1000000.0,13,64,32,480,385,14000.0,-0.02255615859449615,5.0468683484175525e-05,-60.0225561585945,-59.99994953131652,0.022606627277980327
1M,1000000.0,13,64,32,480,385,100000.0,-0.022400287885322015,0.0008206513426882219,-60.022400287885326,-59.999179348657314,0.02322093922801024
1M,1000000.0,13,64,32,480,385,1000000.0,-6.533177216845921,-6.574250688310823,-66.53317721684593,-66.57425068831083,-0.0410734714649017
1M,1000000.0,13,64,32,480,385,10000000.0,-50.26518420638409,-326.6963419892594,-110.26518420638409,-386.6963419892594,-276.4311577828753
1M,1000000.0,13,64,32,480,385,14000000.0,-53.12395982884261,-114.99542146394967,-113.1239598288426,-174.99542146394967,-61.87146163510706
