rbw,repeat,return_code,ok,points_received,peak_hz,peak_dbm,marker_hz,marker_dbm,error_vs_ref_db,suggested_correction_db,sweep_err,sweep_frame_ready,sweep_dma_err,sweep_dmasr,sweep_last_irq,sweep_accum,sweep_target,pl_mode,pl_fs_hz,pl_decim,pl_drop,pl_err,capture_csv
1m,1,0,1,1,1000000000,-14.15,1000000000,-14.15,-4.15,4.15,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,3445356,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195411.csv
300k,1,0,1,1,1000000000,-10.97,1000000000,-10.97,-0.97,0.97,0,1,0,0x00000002,0x00001000,2944,576,1,3250000,40,3355118,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195422.csv
100k,1,0,1,1,1000000000,-10.74,1000000000,-10.74,-0.74,0.74,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,94348221,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195433.csv
30k,1,0,1,1,1000000000,-15.16,1000000000,-15.16,-5.16,5.16,0,1,0,0x00000002,0x00001000,2944,576,3,325000,400,1861358,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195444.csv
10k,1,0,1,1,1000000000,-10.94,1000000000,-10.94,-0.94,0.94,0,1,0,0x00000002,0x00001000,2944,2944,4,100000,1300,67108864,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195455.csv
1k,1,0,1,1,1000000000,-10.93,1000000000,-10.93,-0.93,0.93,0,1,0,0x00000002,0x00001000,2944,1152,5,100000,1300,0,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195506.csv
1m,2,0,1,1,1000000000,-14.82,1000000000,-14.82,-4.82,4.82,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,3445954,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195517.csv
300k,2,0,1,1,1000000000,-11.07,1000000000,-11.07,-1.07,1.07,0,1,0,0x00000002,0x00001000,2944,576,1,3250000,40,7218302,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195528.csv
100k,2,0,1,1,1000000000,-12.87,1000000000,-12.87,-2.87,2.87,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,94348031,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195538.csv
30k,2,0,1,1,1000000000,-15.15,1000000000,-15.15,-5.15,5.15,0,1,0,0x00000002,0x00001000,2944,576,3,325000,400,2409852,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195549.csv
10k,2,0,1,1,1000000000,-11.06,1000000000,-11.06,-1.06,1.06,0,1,0,0x00000002,0x00001000,2944,2944,4,100000,1300,0,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195600.csv
1k,2,0,1,1,1000000000,-10.94,1000000000,-10.94,-0.94,0.94,0,1,0,0x00000002,0x00001000,2944,1152,5,100000,1300,0,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195611.csv
1m,3,0,1,1,1000000000,-14.40,1000000000,-14.40,-4.40,4.40,0,1,0,0x00000002,0x00001000,2944,512,0,10000000,13,15693037,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195622.csv
300k,3,0,1,1,1000000000,-11.06,1000000000,-11.06,-1.06,1.06,0,1,0,0x00000002,0x00001000,2944,576,1,3250000,40,3335145,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195633.csv
100k,3,0,1,1,1000000000,-12.67,1000000000,-12.67,-2.67,2.67,0,1,0,0x00000002,0x00001000,2944,576,2,1000000,130,2966346,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195644.csv
30k,3,0,1,1,1000000000,-15.14,1000000000,-15.14,-5.14,5.14,0,1,0,0x00000002,0x00001000,2944,576,3,325000,400,1861676,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195655.csv
10k,3,0,1,1,1000000000,-10.92,1000000000,-10.92,-0.92,0.92,0,1,0,0x00000002,0x00001000,2944,2944,4,100000,1300,0,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195706.csv
1k,3,0,1,1,1000000000,-10.92,1000000000,-10.92,-0.92,0.92,0,1,0,0x00000002,0x00001000,2944,1152,5,100000,1300,0,0,C:\learning\pusu_V2\tools\serial_300k_rbw_capture_20260605_195717.csv
