carrier_hz,carrier_dbm,rbw_hz,enbw_hz,average_count
1000000000.00,-6.00000000000,1000.00000000,1000.00000000,10
offset_hz,raw_dbc_hz,avg_dbc_hz,noise_power_dbm,valid
1000.00000000,-87.7284122075,-86.6516798009,-63.7284122075,true
1059.25372517,-87.6293285566,-87.0325870612,-63.6293285566,true
1122.01845431,-87.5323947167,-87.3449224943,-63.5323947167,true
1188.50222743,-87.4686996618,-87.5976096795,-63.4686996618,true
1258.92541182,-87.4638044416,-87.8056324824,-63.4638044416,true
1333.52143216,-87.5354604655,-87.9875264952,-63.5354604655,true
1412.53754461,-87.6921755329,-88.1627291456,-63.6921755329,true
1496.23565614,-87.9327700167,-88.3493775849,-63.9327700167,true
1584.89319241,-88.2469615336,-88.5628540440,-64.2469615336,true
1678.80401814,-88.6169084967,-88.8150712294,-64.6169084967,true
1778.27941000,-89.0195424428,-89.1142747966,-65.0195424428,true
1883.64908946,-89.4294364941,-89.4650572047,-65.4294364941,true
1995.26231492,-89.8219013834,-89.8683160806,-65.8219013834,true
2113.48903978,-90.1759769973,-90.3210138879,-66.1759769973,true
2238.72113860,-90.4769988288,-90.8157650990,-66.4769988288,true
2371.37370563,-90.7184638657,-91.3404612450,-66.7184638657,true
2511.88643146,-90.9029945461,-91.8783132364,-66.9029945461,true
2660.72505975,-91.0422947015,-92.4087914484,-67.0422947015,true
2818.38293123,-91.1560979090,-92.9098756627,-67.1560979090,true
2985.38261890,-91.2702151944,-93.3616557673,-67.2702151944,true
3162.27766013,-91.4138844203,-93.7506186512,-67.4138844203,true
3349.65439153,-91.6166979313,-94.0732120920,-67.6166979313,true
3548.13389230,-91.9054303314,-94.3371209229,-67.9054303314,true
3758.37404287,-92.3010998666,-94.5595427145,-68.3010998666,true
3981.07170558,-92.8165735443,-94.7631697445,-68.8165735443,true
4216.96503425,-93.4549702663,-94.9715359344,-69.4549702663,true
4466.83592153,-94.2090337087,-95.2052904373,-70.2090337087,true
4731.51258957,-95.0615460769,-95.4801456323,-71.0615460769,true
5011.87233627,-95.9867457125,-95.8063968395,-71.9867457125,true
5308.84444237,-96.9526071371,-96.1894180109,-72.9526071371,true
5623.41325188,-97.9237524081,-96.6304301431,-73.9237524081,true
5956.62143528,-98.8646970075,-97.1269964878,-74.8646970075,true
6309.57344484,-99.7430987621,-97.6730014462,-75.7430987621,true
6683.43917572,-100.532678122,-98.2582237954,-76.5326781217,true
7079.45784390,-101.215512524,-98.8679285435,-77.2155125244,true
7498.94209337,-101.783472950,-99.4830767797,-77.7834729498,true
7943.28234720,-102.238660261,-100.081692721,-78.2386602615,true
8413.95141649,-102.592803199,-100.641571828,-78.5928031994,true
8912.50938129,-102.865688006,-101.143915893,-78.8656880062,true
9440.60876286,-103.082790332,-101.576887424,-79.0827903321,true
10000.0000000,-103.272362751,-101.937874532,-79.2723627515,true
10592.5372518,-103.462287285,-102.233686609,-79.4622872852,true
11220.1845430,-103.677025914,-102.478751391,-79.6770259136,true
11885.0222744,-103.934990727,-102.692114600,-79.9349907271,true
12589.2541180,-104.246610307,-102.894260151,-80.2466103074,true
13335.2143216,-104.613294893,-103.104509264,-80.6132948928,true
14125.3754462,-105.027407635,-103.339318357,-81.0274076350,true
