metadata_key,metadata_value
carrier_hz,1060000000.00
carrier_dbm,-6.00000000000
start_offset_hz,1000.00000000
stop_offset_hz,1000000.00000
average_count,1
enbw_mode,estimated
calibration_state,UNCAL
rbw_hz,1000.00000000
enbw_hz,1000.00000000
points_per_decade,60
planned_points,181
received_points,181

offset_hz,raw_dbc_hz,avg_dbc_hz,noise_power_dbm,rbw_hz,valid,warning
1000.00000000,-88.1036270907,-88.1036270907,-64.1036270907,1000.00000000,1,
1039.12230384,-88.6136431799,-88.6136431799,-64.6136431799,1000.00000000,1,
1079.77516234,-89.0957568169,-89.0957568169,-65.0957568169,1000.00000000,1,
1122.01845431,-89.5411273481,-89.5411273481,-65.5411273481,1000.00000000,1,
1165.91440117,-89.9419534763,-89.9419534763,-65.9419534763,1000.00000000,1,
1211.52765858,-90.2918304105,-90.2918304105,-66.2918304105,1000.00000000,1,
1258.92541182,-90.5860472695,-90.5860472695,-66.5860472695,1000.00000000,1,
1308.17747426,-90.8218108508,-90.8218108508,-66.8218108508,1000.00000000,1,
1359.35639083,-90.9983852705,-90.9983852705,-66.9983852705,1000.00000000,1,
1412.53754461,-91.1171408737,-91.1171408737,-67.1171408737,1000.00000000,1,
1467.79926765,-91.1815100103,-91.1815100103,-67.1815100103,1000.00000000,1,
1525.22295654,-91.1968515821,-91.1968515821,-67.1968515821,1000.00000000,1,
1584.89319241,-91.1702304947,-91.1702304947,-67.1702304947,1000.00000000,1,
1646.89786553,-91.1101220822,-91.1101220822,-67.1101220822,1000.00000000,1,
1711.32830417,-91.0260550452,-91.0260550452,-67.0260550452,1000.00000000,1,
1778.27941000,-90.9282092815,-90.9282092815,-66.9282092815,1000.00000000,1,
1847.84979737,-90.8269870628,-90.8269870628,-66.8269870628,1000.00000000,1,
1920.14193869,-90.7325772290,-90.7325772290,-66.7325772290,1000.00000000,1,
1995.26231492,-90.6545323683,-90.6545323683,-66.6545323683,1000.00000000,1,
2073.32157350,-90.6013783203,-90.6013783203,-66.6013783203,1000.00000000,1,
2154.43469000,-90.5802738082,-90.5802738082,-66.5802738082,1000.00000000,1,
2238.72113860,-90.5967356432,-90.5967356432,-66.5967356432,1000.00000000,1,
2326.30506718,-90.6544418668,-90.6544418668,-66.6544418668,1000.00000000,1,
2417.31548083,-90.7551215395,-90.7551215395,-66.7551215395,1000.00000000,1,
2511.88643146,-90.8985358317,-90.8985358317,-66.8985358317,1000.00000000,1,
2610.15721571,-91.0825507980,-91.0825507980,-67.0825507980,1000.00000000,1,
2712.27257931,-91.3032979342,-91.3032979342,-67.3032979342,1000.00000000,1,
2818.38293123,-91.5554145166,-91.5554145166,-67.5554145166,1000.00000000,1,
2928.64456463,-91.8323520039,-91.8323520039,-67.8323520039,1000.00000000,1,
3043.21988714,-92.1267376154,-92.1267376154,-68.1267376154,1000.00000000,1,
3162.27766013,-92.4307717265,-92.4307717265,-68.4307717265,1000.00000000,1,
3285.99324763,-92.7366420768,-92.7366420768,-68.7366420768,1000.00000000,1,
3414.54887378,-93.0369350177,-93.0369350177,-69.0369350177,1000.00000000,1,
3548.13389230,-93.3250241996,-93.3250241996,-69.3250241996,1000.00000000,1,
3686.94506454,-93.5954181825,-93.5954181825,-69.5954181825,1000.00000000,1,
3831.18684959,-93.8440504091,-93.8440504091,-69.8440504091,1000.00000000,1,
3981.07170558,-94.0684977137,-94.0684977137,-70.0684977137,1000.00000000,1,
4136.82040238,-94.2681169179,-94.2681169179,-70.2681169179,1000.00000000,1,
4298.66234708,-94.4440929393,-94.4440929393,-70.4440929393,1000.00000000,1,
4466.83592153,-94.5993960153,-94.5993960153,-70.5993960153,1000.00000000,1,
4641.58883357,-94.7386499425,-94.7386499425,-70.7386499425,1000.00000000,1,
4823.17848229,-94.8679174329,-94.8679174329,-70.8679174329,1000.00000000,1,
5011.87233627,-94.9944126132,-94.9944126132,-70.9944126132,1000.00000000,1,
5207.94832861,-95.1261541415,-95.1261541415,-71.1261541415,1000.00000000,1,
5411.69526541,-95.2715752414,-95.2715752414,-71.2715752414,1000.00000000,1,
5623.41325188,-95.4391090079,-95.4391090079,-71.4391090079,1000.00000000,1,
5843.41413379,-95.6367685434,-95.6367685434,-71.6367685434,1000.00000000,1,
6072.02195692,-95.8717417627,-95.8717417627,-71.8717417627,1000.00000000,1,
6309.57344484,-96.1500200605,-96.1500200605,-72.1500200605,1000.00000000,1,
6556.41849422,-96.4760784923,-96.4760784923,-72.4760784923,1000.00000000,1,
6812.92069054,-96.8526227428,-96.8526227428,-72.8526227428,1000.00000000,1,
7079.45784390,-97.2804150696,-97.2804150696,-73.2804150696,1000.00000000,1,
7356.42254460,-97.7581877449,-97.7581877449,-73.7581877449,1000.00000000,1,
7644.22274256,-98.2826484558,-98.2826484558,-74.2826484558,1000.00000000,1,
7943.28234720,-98.8485778465,-98.8485778465,-74.8485778465,1000.00000000,1,
8254.04185271,-99.4490150972,-99.4490150972,-75.4490150972,1000.00000000,1,
8576.95898592,-100.075523337,-100.075523337,-76.0755233370,1000.00000000,1,
8912.50938129,-100.718522963,-100.718522963,-76.7185229633,1000.00000000,1,
9261.18728125,-101.367677780,-101.367677780,-77.3676777799,1000.00000000,1,
9623.50626397,-102.012316395,-102.012316395,-78.0123163953,1000.00000000,1,
10000.0000000,-102.641869679,-102.641869679,-78.6418696793,1000.00000000,1,
10391.2230383,-103.246304319,-103.246304319,-79.2463043186,1000.00000000,1,
10797.7516233,-103.816532691,-103.816532691,-79.8165326908,1000.00000000,1,
11220.1845430,-104.344780369,-104.344780369,-80.3447803685,1000.00000000,1,
11659.1440119,-104.824894536,-104.824894536,-80.8248945355,1000.00000000,1,
12115.2765863,-105.252579338,-105.252579338,-81.2525793382,1000.00000000,1,
12589.2541180,-105.625547591,-105.625547591,-81.6255475910,1000.00000000,1,
13081.7747426,-105.943582141,-105.943582141,-81.9435821406,1000.00000000,1,
13593.5639088,-106.208504387,-106.208504387,-82.2085043875,1000.00000000,1,
14125.3754462,-106.424051774,-106.424051774,-82.4240517743,1000.00000000,1,
14677.9926763,-106.595670272,-106.595670272,-82.5956702723,1000.00000000,1,
15252.2295654,-106.730231834,-106.730231834,-82.7302318342,1000.00000000,1,
15848.9319246,-106.835690251,-106.835690251,-82.8356902512,1000.00000000,1,
16468.9786549,-106.920691692,-106.920691692,-82.9206916916,1000.00000000,1,
17113.2830416,-106.994158275,-106.994158275,-82.9941582745,1000.00000000,1,
17782.7941004,-107.064864249,-107.064864249,-83.0648642492,1000.00000000,1,
18478.4979743,-107.141024652,-107.141024652,-83.1410246521,1000.00000000,1,
19201.4193864,-107.229915684,-107.229915684,-83.2299156843,1000.00000000,1,
19952.6231496,-107.337544526,-107.337544526,-83.3375445255,1000.00000000,1,
20733.2157348,-107.468383942,-107.468383942,-83.4683839418,1000.00000000,1,
21544.3469003,-107.625183972,-107.625183972,-83.6251839723,1000.00000000,1,
22387.2113857,-107.808869332,-107.808869332,-83.8088693318,1000.00000000,1,
23263.0506716,-108.018527116,-108.018527116,-84.0185271160,1000.00000000,1,
24173.1548080,-108.251485135,-108.251485135,-84.2514851349,1000.00000000,1,
25118.8643152,-108.503476921,-108.503476921,-84.5034769208,1000.00000000,1,
26101.5721568,-108.768885374,-108.768885374,-84.7688853736,1000.00000000,1,
27122.7257934,-109.041053290,-109.041053290,-85.0410532901,1000.00000000,1,
28183.8293127,-109.312645871,-109.312645871,-85.3126458712,1000.00000000,1,
29286.4456463,-109.576047840,-109.576047840,-85.5760478404,1000.00000000,1,
30432.1988711,-109.823776165,-109.823776165,-85.8237761653,1000.00000000,1,
31622.7766017,-110.048888626,-110.048888626,-86.0488886260,1000.00000000,1,
32859.9324760,-110.245368649,-110.245368649,-86.2453686488,1000.00000000,1,
34145.4887383,-110.408467923,-110.408467923,-86.4084679231,1000.00000000,1,
35481.3389233,-110.534990285,-110.534990285,-86.5349902855,1000.00000000,1,
36869.4506452,-110.623503094,-110.623503094,-86.6235030937,1000.00000000,1,
38311.8684956,-110.674465707,-110.674465707,-86.6744657073,1000.00000000,1,
39810.7170553,-110.690268567,-110.690268567,-86.6902685673,1000.00000000,1,
41368.2040238,-110.675180559,-110.675180559,-86.6751805593,1000.00000000,1,
42986.6234708,-110.635206641,-110.635206641,-86.6352066407,1000.00000000,1,
44668.3592151,-110.577861928,-110.577861928,-86.5778619279,1000.00000000,1,
46415.8883362,-110.511872361,-110.511872361,-86.5118723615,1000.00000000,1,
48231.7848223,-110.446815527,-110.446815527,-86.4468155271,1000.00000000,1,
50118.7233627,-110.392718030,-110.392718030,-86.3927180297,1000.00000000,1,
52079.4832859,-110.359627884,-110.359627884,-86.3596278844,1000.00000000,1,
54116.9526546,-110.357181584,-110.357181584,-86.3571815841,1000.00000000,1,
56234.1325190,-110.394185790,-110.394185790,-86.3941857904,1000.00000000,1,
58434.1413374,-110.478232946,-110.478232946,-86.4782329462,1000.00000000,1,
60720.2195691,-110.615368563,-110.615368563,-86.6153685626,1000.00000000,1,
63095.7344481,-110.809825557,-110.809825557,-86.8098255574,1000.00000000,1,
65564.1849418,-111.063837931,-111.063837931,-87.0638379306,1000.00000000,1,
68129.2069058,-111.377542395,-111.377542395,-87.3775423945,1000.00000000,1,
70794.5784384,-111.748972510,-111.748972510,-87.7489725099,1000.00000000,1,
73564.2254460,-112.174145598,-112.174145598,-88.1741455977,1000.00000000,1,
76442.2274252,-112.647238403,-112.647238403,-88.6472384031,1000.00000000,1,
79432.8234724,-113.160843384,-113.160843384,-89.1608433836,1000.00000000,1,
82540.4185268,-113.706293766,-113.706293766,-89.7062937657,1000.00000000,1,
85769.5898591,-114.274042344,-114.274042344,-90.2740423436,1000.00000000,1,
89125.0938134,-114.854076520,-114.854076520,-90.8540765205,1000.00000000,1,
92611.8728129,-115.436350439,-115.436350439,-91.4363504393,1000.00000000,1,
