frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
2,4,21,0,0,999995000,-105.988808
3,4,21,1,0,999995500,-105.988808
4,4,21,2,0,999996000,-105.988808
5,4,21,3,0,999996500,-105.988808
6,4,21,4,0,999997000,-105.988808
7,4,21,5,0,999997500,-105.988808
8,4,21,6,0,999998000,-105.988808
9,4,21,7,0,999998500,-105.988808
10,4,21,8,0,999999000,-97.325691
11,4,21,9,0,999999500,-68.361626
12,4,21,10,0,1000000000,-68.282158
13,4,21,11,0,1000000500,-101.446114
14,4,21,12,0,1000001000,-105.988808
15,4,21,13,0,1000001500,-105.988808
16,4,21,14,0,1000002000,-105.988808
17,4,21,15,0,1000002500,-105.988808
18,4,21,16,0,1000003000,-105.988808
19,4,21,17,0,1000003500,-105.988808
20,4,21,18,0,1000004000,-105.988808
21,4,21,19,0,1000004500,-105.978111
22,4,21,20,1,1000005000,-105.988808
