host_time_s,delta_ms,frame_index,timestamp,total_points,current_index,done,freq_hz,amp_dbm
0.011947,,2,1,4096,0,0,50000000,-83.935051
0.028871,16.924,3,1,4096,1,0,50150000,-83.643288
0.028893,0.022,4,1,4096,2,0,50300000,-84.297340
0.043861,14.968,5,1,4096,3,0,50450000,-84.140022
0.043874,0.014,6,1,4096,4,0,50600000,-84.039375
0.061865,17.991,7,1,4096,5,0,50750000,-83.398827
0.061883,0.018,8,1,4096,6,0,50900000,-84.193291
0.076755,14.872,9,1,4096,7,0,51050000,-84.377953
0.076769,0.014,10,1,4096,8,0,51200000,-84.098808
0.076774,0.006,11,1,4096,9,0,51350000,-84.249397
0.094174,17.399,12,1,4096,10,0,51500000,-83.333824
0.094189,0.016,13,1,4096,11,0,51650000,-84.202339
0.109168,14.979,14,1,4096,12,0,51800000,-82.967018
0.109183,0.015,15,1,4096,13,0,51950000,-83.519768
0.124065,14.882,16,1,4096,14,0,52100000,-83.864540
0.124090,0.025,17,1,4096,15,0,52250000,-82.398827
0.142018,17.928,18,1,4096,16,0,52400000,-83.812996
0.142043,0.025,19,1,4096,17,0,52550000,-83.159492
0.156482,14.439,20,1,4096,18,0,52700000,-84.550041
0.156499,0.017,21,1,4096,19,0,52850000,-83.760063
0.174001,17.502,22,1,4096,20,0,53000000,-83.476753
0.174017,0.016,23,1,4096,21,0,53150000,-82.635445
0.174023,0.006,24,1,4096,22,0,53300000,-77.790871
0.190056,16.033,25,1,4096,23,0,53450000,-82.872337
0.190071,0.015,26,1,4096,24,0,53600000,-84.375877
0.205056,14.985,27,1,4096,25,0,53750000,-83.846870
0.205069,0.013,28,1,4096,26,0,53900000,-83.773949
0.219568,14.499,29,1,4096,27,0,54050000,-83.081200
0.219583,0.015,30,1,4096,28,0,54200000,-84.290932
0.236901,17.319,31,1,4096,29,0,54350000,-82.820763
0.236916,0.015,32,1,4096,30,0,54500000,-83.159019
0.251436,14.520,33,1,4096,31,0,54650000,-83.919731
0.251451,0.015,34,1,4096,32,0,54800000,-83.454628
0.269480,18.029,35,1,4096,33,0,54950000,-82.510201
0.269500,0.020,36,1,4096,34,0,55100000,-84.470772
0.269506,0.006,37,1,4096,35,0,55250000,-84.421745
0.283971,14.464,38,1,4096,36,0,55400000,-84.626122
0.283986,0.015,39,1,4096,37,0,55550000,-83.322746
0.301472,17.486,40,1,4096,38,0,55700000,-84.766457
0.301486,0.015,41,1,4096,39,0,55850000,-83.258766
0.316478,14.992,42,1,4096,40,0,56000000,-83.932121
0.316493,0.015,43,1,4096,41,0,56150000,-84.533928
0.333984,17.491,44,1,4096,42,0,56300000,-83.895576
0.333999,0.015,45,1,4096,43,0,56450000,-84.262337
0.349001,15.002,46,1,4096,44,0,56600000,-84.566566
0.349016,0.014,47,1,4096,45,0,56750000,-83.952003
0.363510,14.494,48,1,4096,46,0,56900000,-83.986610
0.363523,0.013,49,1,4096,47,0,57050000,-84.023537
0.363528,0.005,50,1,4096,48,0,57200000,-83.648979
0.381018,17.490,51,1,4096,49,0,57350000,-83.899940
0.381032,0.014,52,1,4096,50,0,57500000,-84.499413
0.396014,14.982,53,1,4096,51,0,57650000,-83.732430
0.396029,0.015,54,1,4096,52,0,57800000,-83.755348
0.413240,17.211,55,1,4096,53,0,57950000,-83.135704
0.413254,0.014,56,1,4096,54,0,58100000,-83.069069
0.428230,14.976,57,1,4096,55,0,58250000,-84.148003
0.428243,0.013,58,1,4096,56,0,58400000,-84.809029
0.445758,17.515,59,1,4096,57,0,58550000,-84.339958
0.445772,0.014,60,1,4096,58,0,58700000,-83.885567
0.460785,15.013,61,1,4096,59,0,58850000,-84.286049
0.460799,0.014,62,1,4096,60,0,59000000,-83.143684
0.460805,0.006,63,1,4096,61,0,59150000,-83.215004
0.478272,17.467,64,1,4096,62,0,59300000,-84.379799
0.478286,0.014,65,1,4096,63,0,59450000,-83.537498
0.493257,14.971,66,1,4096,64,0,59600000,-84.352348
0.493271,0.014,67,1,4096,65,0,59750000,-82.835411
0.507783,14.512,68,1,4096,66,0,59900000,-83.770103
0.507805,0.022,69,1,4096,67,0,60050000,-82.177330
0.525816,18.011,70,1,4096,68,0,60200000,-83.861305
0.525831,0.015,71,1,4096,69,0,60350000,-83.597908
0.539880,14.049,72,1,4096,70,0,60500000,-83.725700
0.539895,0.015,73,1,4096,71,0,60650000,-82.939293
0.557925,18.030,74,1,4096,72,0,60800000,-83.958794
0.557940,0.015,75,1,4096,73,0,60950000,-83.967384
0.557945,0.005,76,1,4096,74,0,61100000,-83.317314
0.572544,14.599,77,1,4096,75,0,61250000,-84.006355
0.572559,0.015,78,1,4096,76,0,61400000,-83.939552
0.589676,17.117,79,1,4096,77,0,61550000,-83.011726
0.589696,0.020,80,1,4096,78,0,61700000,-84.388634
0.604634,14.937,81,1,4096,79,0,61850000,-83.863823
0.604649,0.015,82,1,4096,80,0,62000000,-83.808006
0.622130,17.482,83,1,4096,81,0,62150000,-83.286674
0.622144,0.014,84,1,4096,82,0,62300000,-84.769569
0.637172,15.028,85,1,4096,83,0,62450000,-83.720695
0.637186,0.014,86,1,4096,84,0,62600000,-83.435005
0.651710,14.524,87,1,4096,85,0,62750000,-84.678398
0.651727,0.017,88,1,4096,86,0,62900000,-83.117546
0.670191,18.464,89,1,4096,87,0,63050000,-85.049019
0.670212,0.020,90,1,4096,88,0,63200000,-83.235649
0.670219,0.007,91,1,4096,89,0,63350000,-83.071114
0.685011,14.793,92,1,4096,90,0,63500000,-83.727257
0.685025,0.013,93,1,4096,91,0,63650000,-83.415871
0.700049,15.024,94,1,4096,92,0,63800000,-83.459908
0.700065,0.017,95,1,4096,93,0,63950000,-82.920448
0.717637,17.572,96,1,4096,94,0,64100000,-83.845985
0.717652,0.015,97,1,4096,95,0,64250000,-83.817772
0.732156,14.504,98,1,4096,96,0,64400000,-83.402550
0.732170,0.015,99,1,4096,97,0,64550000,-84.370232
0.749951,17.781,100,1,4096,98,0,64700000,-85.054314
0.749972,0.021,101,1,4096,99,0,64850000,-83.880150
0.764403,14.431,102,1,4096,100,0,65000000,-84.317833
